,RANK,PLAYER,YEAR,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
570,571,VladimirGuerrero,RF,1999,MON,160,610,102,193,37,5,42,131,55,62,14,7,.316,.378,.600,.978
571,571,HankAaron,RF,1957,MIL,151,615,118,198,27,6,44,132,57,58,1,1,.322,.378,.600,.978
572,571,MagglioOrdonez,RF,2002,CWS,153,590,116,189,47,1,38,135,53,77,7,5,.320,.381,.597,.978
573,571,LeftyO'Doul,LF,1932,BRO,148,595,120,219,32,8,21,90,50,20,11,--,.368,.423,.555,.978
574,571,CharlieGehringer,2B,1937,DET,144,564,133,209,40,1,14,96,90,25,11,4,.371,.458,.520,.978
575,571,RoyCampanella,C,1955,BRO,123,446,81,142,20,1,32,107,56,41,2,3,.318,.395,.583,.978
576,577,CarlosDelgado,1B,1998,TOR,142,530,94,155,43,1,38,115,73,139,3,0,.292,.385,.592,.977
577,577,BillyWilliams,LF,1970,CHC,161,636,137,205,34,4,42,129,72,65,7,1,.322,.391,.586,.977
578,577,JimThome,1B,2004,PHI,143,508,97,139,28,1,42,105,104,144,0,2,.274,.396,.581,.977
579,577,HankAaron,RF,1963,MIL,161,631,121,201,29,4,44,130,78,94,31,5,.319,.391,.586,.977
580,577,PaulKonerko,1B,2010,CWS,149,548,89,171,30,1,39,111,72,110,0,1,.312,.393,.584,.977
581,577,JimRice,LF,1979,BOS,158,619,117,201,39,6,39,130,57,97,9,4,.325,.381,.596,.977
582,577,WillieMays,CF,1961,SF,154,572,129,176,32,3,40,123,81,77,18,9,.308,.393,.584,.977
583,577,WillieMcCovey,1B,1966,SF,150,502,85,148,26,6,36,96,76,100,2,1,.295,.391,.586,.977
584,577,HarlondClift,3B,1938,SLB,149,534,119,155,25,7,34,118,118,67,10,5,.290,.423,.554,.977
585,577,HankGreenberg,1B,1946,DET,142,523,91,145,29,5,44,127,80,88,5,1,.277,.373,.604,.977
586,577,BarryLarkin,SS,1996,CIN,152,517,117,154,32,4,33,89,96,52,36,10,.298,.410,.567,.977
587,577,FreddieFreeman,1B,2023,LAD,161,637,131,211,59,2,29,102,72,121,23,1,.331,.410,.567,.977
588,577,ZackWheat,LF,1924,BRO,141,566,92,212,41,8,14,97,49,18,3,4,.375,.428,.549,.977
589,577,TristramSpeaker,CF,1921,CLE,132,506,107,183,52,14,3,75,68,12,2,4,.362,.439,.538,.977
590,577,DaleAlexander,1B,1929,DET,155,626,110,215,43,15,25,137,56,63,5,9,.343,.397,.580,.977
591,577,HarryHeilmann,RF,1929,DET,125,453,86,156,41,7,15,120,50,39,5,6,.344,.412,.565,.977
592,593,KenGriffey,CF,1998,SEA,161,633,120,180,33,3,56,146,76,121,20,5,.284,.365,.611,.976
593,593,RyanHoward,1B,2007,PHI,144,529,94,142,26,0,47,136,107,199,1,0,.268,.392,.584,.976
594,593,PeteBrowning,X,1890,CLI,118,493,112,184,40,8,5,93,75,36,35,--,.373,.459,.517,.976
595,593,FrankHoward,LF,1969,WAS,161,592,111,175,17,2,48,111,102,96,1,0,.296,.402,.574,.976
596,593,MannyRamirez,RF,1998,CLE,150,571,108,168,35,2,45,145,76,121,5,3,.294,.377,.599,.976
597,593,PhilNevin,3B,2001,SD,149,546,97,167,31,0,41,126,71,147,4,4,.306,.388,.588,.976
598,593,ChaseUtley,2B,2007,PHI,132,530,104,176,48,5,22,103,50,89,9,1,.332,.410,.566,.976
599,593,ReggieSanders,RF,1995,CIN,133,484,91,148,36,6,28,99,69,122,36,12,.306,.397,.579,.976
600,593,JoeTorre,3B,1971,STL,161,634,97,230,34,8,24,137,63,70,4,1,.363,.421,.555,.976
601,593,MickeyCochrane,C,1931,PHA,122,459,87,160,31,6,17,89,56,21,2,3,.349,.423,.553,.976
602,593,TristramSpeaker,CF,1913,BOS,141,520,94,190,35,22,3,71,65,22,46,--,.365,.443,.533,.976
603,604,FernandoTatis,SS,2021,SD,130,478,99,135,31,0,42,97,62,153,25,4,.282,.364,.611,.975
604,604,JasonGiambi,1B,2005,NYY,139,417,74,113,14,0,32,87,108,109,0,0,.271,.440,.535,.975
605,604,JasonGiambi,1B,1999,OAK,158,575,115,181,36,1,33,123,105,106,1,1,.315,.422,.553,.975
606,604,FrankThomas,1B,1992,CWS,160,573,108,185,46,2,24,115,122,88,6,3,.323,.439,.536,.975
607,604,HankAaron,CF,1961,MIL,155,603,115,197,39,10,34,120,56,64,21,9,.327,.381,.594,.975
608,604,GavvyCravath,RF,1913,PHI,147,525,78,179,34,14,19,128,55,63,10,--,.341,.407,.568,.975
609,604,KikiCuyler,RF,1930,CHC,156,642,155,228,50,17,13,134,72,49,37,--,.355,.428,.547,.975
610,611,FrankRobinson,1B,1959,CIN,146,540,106,168,31,4,36,125,69,93,18,8,.311,.391,.583,.974
611,611,JoeMorgan,2B,1975,CIN,146,498,107,163,27,6,17,94,132,52,67,10,.327,.466,.508,.974
612,611,MiguelCabrera,1B,2015,DET,119,429,64,145,28,1,18,76,77,82,1,1,.338,.440,.534,.974
613,611,TrotNixon,RF,2003,BOS,134,441,81,135,24,6,28,87,65,96,4,2,.306,.396,.578,.974
614,611,GeorgeSpringer,CF,2019,HOU,122,479,96,140,20,3,39,96,67,113,6,2,.292,.383,.591,.974
615,611,VictorMartinez,DH,2014,DET,151,561,87,188,33,0,32,103,70,42,3,2,.335,.409,.565,.974
616,611,CarlosGonzález,LF,2010,COL,145,587,111,197,34,9,34,117,40,135,26,8,.336,.376,.598,.974
617,611,AndresGalarraga,1B,1997,COL,154,600,120,191,31,3,41,140,54,141,15,8,.318,.389,.585,.974
618,611,JimEdmonds,CF,2001,STL,150,500,95,152,38,1,30,110,93,136,5,5,.304,.410,.564,.974
619,611,StanMusial,1B,1955,STL,154,562,97,179,30,5,33,108,80,39,5,4,.319,.408,.566,.974
620,611,MickeyCochrane,C,1933,PHA,130,429,104,138,30,4,15,60,106,22,8,6,.322,.459,.515,.974
621,611,ElmerSmith,X,1894,PIT,125,489,128,174,33,19,6,72,65,12,33,--,.356,.436,.538,.974
622,623,MattHolliday,LF,2006,COL,155,602,119,196,45,5,34,114,47,110,10,5,.326,.387,.586,.973
623,623,JimThome,DH,2007,CWS,130,432,79,119,19,0,35,96,95,134,0,1,.275,.410,.563,.973
624,623,CarlFurillo,RF,1953,BRO,132,479,82,165,38,6,21,92,34,32,1,1,.344,.393,.580,.973
625,623,ChickHafey,LF,1931,STL,122,450,94,157,35,8,16,95,39,43,11,--,.349,.404,.569,.973
626,623,TyCobb,CF,1915,DET,156,563,144,208,31,13,3,99,118,43,96,38,.369,.486,.487,.973
627,628,DerrekLee,1B,2009,CHC,141,532,91,163,36,2,35,111,76,109,1,0,.306,.393,.579,.972
628,628,ShawnGreen,RF,1999,TOR,153,614,134,190,45,0,42,123,66,117,20,7,.309,.384,.588,.972
629,628,BobbyAbreu,RF,2004,PHI,159,574,118,173,47,1,30,105,127,116,40,5,.301,.428,.544,.972
630,628,SteveEvans,RF,1914,BKF,145,514,93,179,41,15,12,96,50,49,18,--,.348,.416,.556,.972
631,628,CarlReynolds,CF,1930,CWS,138,563,103,202,25,18,22,104,20,39,16,4,.359,.388,.584,.972
632,628,GeorgeDavis,3B,1894,NYG,122,477,120,168,26,19,8,91,66,10,40,--,.352,.435,.537,.972
633,628,TristramSpeaker,CF,1916,CLE,151,546,102,211,41,8,2,79,82,20,35,27,.386,.470,.502,.972
634,635,ChipperJones,LF,2002,ATL,158,548,90,179,35,1,26,100,107,89,8,2,.327,.435,.536,.971
635,635,ChiliDavis,DH,1994,CAL,108,392,72,122,18,1,26,84,69,84,3,2,.311,.410,.561,.971
636,635,BernieWilliams,CF,1999,NYY,158,591,116,202,28,6,25,115,100,95,9,10,.342,.435,.536,.971
637,635,JasonGiambi,DH,2006,NYY,139,446,92,113,25,0,37,113,110,106,2,0,.253,.413,.558,.971
638,635,BarryBonds,LF,1990,PIT,151,519,104,156,32,3,33,114,93,83,52,13,.301,.406,.565,.971
639,635,OrlandoCepeda,1B,1961,SF,152,585,105,182,28,4,46,142,39,91,12,8,.311,.362,.609,.971
640,635,GeorgeSisler,1B,1921,SLB,138,582,125,216,38,18,12,104,34,27,35,11,.371,.411,.560,.971
641,642,ChipperJones,3B,2000,ATL,156,579,118,180,38,1,36,111,95,64,14,7,.311,.404,.566,.970
642,642,ShawnGreen,RF,2001,LA,161,619,121,184,31,4,49,125,72,107,20,4,.297,.372,.598,.970
643,642,StanMusial,CF,1952,STL,154,578,105,194,42,6,21,91,96,29,7,7,.336,.432,.538,.970
644,642,BobbyAbreu,RF,2000,PHI,154,576,103,182,42,10,25,79,100,116,28,8,.316,.416,.554,.970
645,642,MarkMcGwire,1B,1992,OAK,139,467,87,125,22,0,42,104,90,105,0,1,.268,.385,.585,.970
646,642,JohnJaha,DH,1999,OAK,142,457,93,126,23,0,35,111,101,129,2,0,.276,.414,.556,.970
647,642,JimRice,LF,1978,BOS,163,677,121,213,25,15,46,139,58,126,7,5,.315,.370,.600,.970
648,642,EricDavis,RF,1998,BAL,131,452,81,148,29,1,28,89,44,108,7,6,.327,.388,.582,.970
649,642,DickAllen,3B,1967,PHI,122,463,89,142,31,10,23,77,75,117,20,5,.307,.404,.566,.970
650,642,BobbyMurcer,CF,1971,NYY,146,529,94,175,25,6,25,94,91,60,14,8,.331,.427,.543,.970
651,642,ErnieBanks,SS,1959,CHC,155,589,97,179,25,6,45,143,64,72,2,4,.304,.374,.596,.970
652,642,KikiCuyler,RF,1929,CHC,139,509,111,183,29,7,15,102,66,56,43,--,.360,.438,.532,.970
653,654,JorgePosada,C,2007,NYY,144,506,91,171,42,1,20,90,74,98,2,0,.338,.426,.543,.969
654,654,JimRice,DH,1977,BOS,160,644,104,206,29,15,39,114,53,120,5,4,.320,.376,.593,.969
655,654,DanBrouthers,1B,1889,BSN,126,485,105,181,26,9,7,118,66,6,22,--,.373,.462,.507,.969
656,654,CecilFielder,1B,1990,DET,159,573,104,159,25,1,51,132,90,182,0,1,.277,.377,.592,.969
657,654,FreddieFreeman,1B,2016,ATL,158,589,102,178,43,6,34,91,89,171,6,1,.302,.400,.569,.969
658,654,CarlEverett,CF,1999,HOU,123,464,86,151,33,3,25,108,50,94,27,7,.325,.398,.571,.969
659,654,BillJoyce,3B,1895,WAS,126,474,110,148,25,13,17,95,96,54,29,--,.312,.442,.527,.969
660,654,GeorgeSelkirk,LF,1939,NYY,128,418,103,128,17,4,21,101,103,49,12,5,.306,.452,.517,.969
661,654,LouGehrig,1B,1926,NYY,155,572,135,179,47,20,16,112,105,73,6,5,.313,.420,.549,.969
662,663,CliffFloyd,LF,2001,FLA,149,555,123,176,44,4,31,103,59,101,18,3,.317,.390,.578,.968
663,663,MikeYastrzemski,CF,2020,SF,54,192,39,57,14,4,10,35,30,55,2,1,.297,.400,.568,.968
664,663,MikeTiernan,X,1896,NYG,133,521,132,192,24,16,7,89,77,18,35,--,.369,.452,.516,.968
665,663,PaulWaner,RF,1934,PIT,146,599,122,217,32,16,14,90,68,24,8,--,.362,.429,.539,.968
666,667,AlKaline,RF,1955,DET,152,588,121,200,24,8,27,102,82,57,6,8,.340,.421,.546,.967
667,667,JoeDiMaggio,CF,1938,NYY,145,599,129,194,32,13,32,140,59,21,6,1,.324,.386,.581,.967
668,667,EdgardoAlfonzo,2B,2000,NYM,150,544,109,176,40,2,25,94,95,70,3,2,.324,.425,.542,.967
669,667,TedKluszewski,1B,1955,CIN,153,612,116,192,25,0,47,113,66,40,1,1,.314,.382,.585,.967
670,667,GooseGoslin,LF,1931,SLB,151,591,114,194,42,10,24,105,80,41,9,6,.328,.412,.555,.967
671,667,RoySievers,LF,1957,WAS,152,572,99,172,23,5,42,114,76,55,1,1,.301,.388,.579,.967
672,667,DonMattingly,1B,1986,NYY,162,677,117,238,53,2,31,113,53,35,0,0,.352,.394,.573,.967
673,667,MikeSchmidt,3B,1977,PHI,154,544,114,149,27,11,38,101,104,122,15,8,.274,.393,.574,.967
674,667,PaulGoldschmidt,1B,2017,AZ,155,558,117,166,34,3,36,120,94,147,18,5,.297,.404,.563,.967
675,667,MelOtt,RF,1944,NYG,120,399,91,115,16,4,26,82,90,47,2,--,.288,.423,.544,.967
676,667,CharlieGehringer,2B,1934,DET,154,601,135,214,50,7,11,127,99,25,11,8,.356,.450,.517,.967
677,667,FredLynn,CF,1975,BOS,145,528,103,175,47,7,21,105,62,90,10,5,.331,.401,.566,.967
678,667,CharlieGehringer,2B,1939,DET,118,406,86,132,29,6,16,86,68,16,4,3,.325,.423,.544,.967
679,667,GooseGoslin,LF,1926,WAS,147,568,105,201,26,15,17,108,63,38,8,8,.354,.425,.542,.967
680,681,JimThome,1B,1999,CLE,146,494,101,137,27,2,33,108,127,171,0,0,.277,.426,.540,.966
681,681,EdgarMartinez,DH,2001,SEA,132,470,80,144,40,1,23,116,93,90,4,1,.306,.423,.543,.966
682,681,RyanLudwick,RF,2008,STL,152,538,104,161,40,3,37,113,62,146,4,4,.299,.375,.591,.966
683,681,HarmonKillebrew,1B,1967,MIN,163,547,105,147,24,1,44,113,131,111,1,0,.269,.408,.558,.966
684,681,WadeBoggs,3B,1988,BOS,155,584,128,214,45,6,5,58,125,34,2,3,.366,.476,.490,.966
685,681,MiguelCabrera,3B,2007,FLA,157,588,91,188,38,2,34,119,79,127,2,1,.320,.401,.565,.966
686,681,JohnStone,LF,1936,WAS,123,437,95,149,22,11,15,90,60,26,8,0,.341,.421,.545,.966
687,681,PaulWaner,RF,1936,PIT,148,585,107,218,53,9,5,94,74,29,7,--,.373,.446,.520,.966
688,689,JeffBagwell,1B,2001,HOU,161,600,126,173,43,4,39,130,106,135,11,3,.288,.397,.568,.965
689,689,ChuckKnoblauch,2B,1996,MIN,153,578,140,197,35,14,13,72,98,74,45,14,.341,.448,.517,.965
690,689,GarrettAtkins,3B,2006,COL,157,602,117,198,48,1,29,120,79,76,4,0,.329,.409,.556,.965
691,689,GarySheffield,3B,1992,SD,146,557,87,184,34,3,33,100,48,40,5,6,.330,.385,.580,.965
692,689,AlexRodriguez,3B,2008,NYY,138,510,104,154,33,0,35,103,65,117,18,3,.302,.392,.573,.965
693,689,CarlosQuentin,LF,2008,CWS,130,480,96,138,26,1,36,100,66,80,7,3,.288,.394,.571,.965
694,695,NapLajoie,2B,1904,CLE,140,553,92,211,49,15,5,102,27,,29,--,.382,.418,.546,.964
695,695,ShoheiOhtani,DH,2021,LAA,158,537,103,138,26,8,46,100,96,189,26,10,.257,.372,.592,.964
696,695,GarySheffield,RF,1994,FLA,87,322,61,89,16,1,27,78,51,50,12,6,.276,.380,.584,.964
697,695,EarlAverill,CF,1938,CLE,134,482,101,159,27,15,14,93,81,48,5,2,.330,.429,.535,.964
698,695,WillClark,1B,2000,STL,130,427,78,136,30,2,21,70,69,69,5,2,.319,.418,.546,.964
699,695,WillieMays,CF,1959,SF,151,575,125,180,43,5,34,104,65,58,27,4,.313,.381,.583,.964
700,695,GeorgeDavis,3B,1893,NYG,133,549,112,195,22,27,11,119,42,20,37,--,.355,.410,.554,.964
701,695,JoséAbreu,1B,2014,CWS,145,556,80,176,35,2,36,107,51,131,3,1,.317,.383,.581,.964
702,695,BobbyBonilla,RF,1995,BAL,141,554,96,182,37,8,28,99,54,79,0,5,.329,.388,.576,.964
703,695,JoeMedwick,LF,1936,STL,155,636,115,223,64,13,18,138,34,33,3,--,.351,.387,.577,.964
704,695,WhiteyKurowski,3B,1947,STL,146,513,108,159,27,6,27,104,87,56,4,--,.310,.420,.544,.964
705,695,PeteReiser,CF,1941,BRO,137,536,117,184,39,17,14,76,46,71,4,--,.343,.406,.558,.964
706,695,JoeCronin,SS,1938,BOS,143,530,98,172,51,5,17,94,91,60,7,5,.325,.428,.536,.964
707,695,JackFournier,1B,1924,BRO,154,563,93,188,25,4,27,116,83,46,7,5,.334,.428,.536,.964
708,695,SamCrawford,RF,1911,DET,146,574,109,217,36,14,7,115,61,,37,--,.378,.438,.526,.964
709,710,MoVaughn,1B,1995,BOS,140,550,98,165,28,3,39,126,68,150,11,4,.300,.388,.575,.963
710,710,BobCerv,LF,1958,KCA,141,515,93,157,20,7,38,104,50,82,3,3,.305,.371,.592,.963
711,710,RafaelPalmeiro,1B,1995,BAL,143,554,89,172,30,2,39,104,62,65,3,1,.310,.380,.583,.963
712,710,MarkTeixeira,1B,2007,ATL,132,494,86,151,33,2,30,105,72,112,0,0,.306,.400,.563,.963
713,710,JeromyBurnitz,RF,1999,MIL,130,467,87,126,33,2,33,103,91,124,7,3,.270,.402,.561,.963
714,710,JohnMayberry,1B,1975,KC,156,554,95,161,38,1,34,106,119,73,5,3,.291,.416,.547,.963
715,710,MikeTrout,CF,2012,LAA,139,559,129,182,27,8,30,83,67,139,49,5,.326,.399,.564,.963
716,710,DixieWalker,RF,1944,BRO,147,535,77,191,37,8,13,91,72,27,6,--,.357,.434,.529,.963
717,710,DolphCamilli,1B,1941,BRO,149,529,92,151,29,6,34,120,104,115,3,--,.285,.407,.556,.963
718,710,JesseBurkett,X,1899,STL,141,558,116,221,21,8,7,71,67,,25,--,.396,.463,.500,.963
719,720,DavidWright,3B,2007,NYM,160,604,113,196,42,1,30,107,94,115,34,5,.325,.416,.546,.962
720,720,NolanArenado,3B,2019,COL,155,588,102,185,31,2,41,118,62,93,3,2,.315,.379,.583,.962
721,720,MarkTeixeira,1B,2008,LAA,157,574,102,177,41,0,33,121,97,93,2,0,.308,.410,.552,.962
722,720,FrankHoward,LF,1970,WAS,161,566,90,160,15,1,44,126,132,125,1,2,.283,.416,.546,.962
723,720,WillieMays,CF,1963,SF,157,596,115,187,32,7,38,103,66,83,8,3,.314,.380,.582,.962
724,720,RonSanto,3B,1964,CHC,161,592,94,185,33,13,30,114,86,96,3,4,.313,.398,.564,.962
725,720,RafaelPalmeiro,1B,2002,TEX,155,546,99,149,34,0,43,105,104,94,2,0,.273,.391,.571,.962
726,720,BillTerry,1B,1932,NYG,154,643,124,225,42,11,28,117,32,23,4,--,.350,.382,.580,.962
727,720,JoeMedwick,LF,1935,STL,154,634,132,224,46,13,23,126,30,59,4,--,.353,.386,.576,.962
728,720,NapLajoie,1B,1897,PHI,127,545,107,198,40,23,9,127,15,,20,--,.363,.393,.569,.962
729,720,BryceHarper,RF,2020,PHI,58,190,41,51,9,2,13,33,49,43,8,2,.268,.420,.542,.962
730,720,MelOtt,RF,1935,NYG,152,593,113,191,33,6,31,114,82,58,7,--,.322,.407,.555,.962
731,720,WillieStargell,LF,1966,PIT,140,485,84,153,30,0,33,102,48,109,2,3,.315,.381,.581,.962
732,720,RossYoungs,RF,1924,NYG,133,526,112,187,33,12,10,74,77,31,11,9,.356,.441,.521,.962
733,720,EdMorgan,1B,1931,CLE,131,462,87,162,33,4,11,86,83,46,4,5,.351,.451,.511,.962
734,735,BoogPowell,1B,1970,BAL,154,526,82,156,28,0,35,114,104,80,1,1,.297,.412,.549,.961
735,735,KevinYoukilis,1B,2009,BOS,136,491,99,150,36,1,27,94,77,125,7,2,.305,.413,.548,.961
736,735,JasonBay,LF,2005,PIT,162,599,110,183,44,6,32,101,95,142,21,1,.306,.402,.559,.961
737,735,DavidOrtiz,DH,2003,BOS,128,448,79,129,39,2,31,101,58,83,0,0,.288,.369,.592,.961
738,735,WaltDropo,1B,1950,BOS,136,559,101,180,28,8,34,144,45,75,0,0,.322,.378,.583,.961
739,735,EarlAverill,CF,1932,CLE,153,631,116,198,37,14,32,124,75,40,5,8,.314,.392,.569,.961
740,735,JeffBurroughs,LF,1978,ATL,153,488,72,147,30,6,23,77,117,92,1,2,.301,.432,.529,.961
741,735,DavidJustice,LF,2000,NYY,146,524,89,150,31,1,41,118,77,91,2,1,.286,.377,.584,.961
742,735,HarryHeilmann,RF,1924,DET,153,570,107,197,45,16,10,114,78,41,13,5,.346,.428,.533,.961
743,744,MikePiazza,C,1998,NYM,151,561,88,184,38,1,32,111,58,80,1,0,.328,.390,.570,.960
744,744,ElmerSmith,X,1893,PIT,128,518,121,179,26,23,7,103,77,23,26,--,.346,.435,.525,.960
745,744,JuanGonzalez,RF,2001,CLE,140,532,97,173,34,1,35,140,41,94,1,0,.325,.370,.590,.960
746,744,GregVaughn,LF,1998,SD,158,573,112,156,28,4,50,119,79,121,11,4,.272,.363,.597,.960
747,744,VladimirGuerrero,RF,1998,MON,159,623,108,202,37,7,38,109,42,95,11,9,.324,.371,.589,.960
748,744,KenGriffey,CF,1999,SEA,160,606,123,173,26,3,48,134,91,108,24,7,.285,.384,.576,.960
749,744,SidGordon,LF,1950,BSN,134,481,78,146,33,4,27,103,78,31,2,--,.304,.403,.557,.960
750,744,CarlEverett,CF,2000,BOS,137,496,82,149,32,4,34,108,52,113,11,4,.300,.373,.587,.960
751,744,JoseCanseco,RF,1988,OAK,158,610,120,187,34,0,42,124,78,128,40,16,.307,.391,.569,.960
752,744,MannyRamirez,RF,1995,CLE,137,484,85,149,26,1,31,107,75,112,6,6,.308,.402,.558,.960
753,744,HughieJennings,SS,1896,BAL,130,521,125,209,27,9,0,121,19,11,70,--,.401,.472,.488,.960
754,744,JackieRobinson,2B,1949,BRO,156,593,122,203,38,12,16,124,86,27,37,--,.342,.432,.528,.960
755,744,JimBottomley,1B,1923,STL,134,523,79,194,34,14,8,94,45,44,4,6,.371,.425,.535,.960
756,757,JohnnyMize,1B,1948,NYG,152,560,110,162,26,4,40,125,94,37,4,--,.289,.395,.564,.959
757,757,LanceBerkman,RF,2011,STL,145,488,90,147,23,2,31,94,92,93,2,6,.301,.412,.547,.959
758,757,VladimirGuerrero,RF,2005,LAA,141,520,95,165,29,2,32,108,61,48,13,1,.317,.394,.565,.959
759,757,WilMyers,RF,2020,SD,55,198,34,57,14,2,15,40,18,56,2,1,.288,.353,.606,.959
760,757,DavidOrtiz,DH,2013,BOS,137,518,84,160,38,2,30,103,76,88,4,0,.309,.395,.564,.959
761,757,KevinYoukilis,1B,2008,BOS,145,538,91,168,43,4,29,115,62,108,3,5,.312,.390,.569,.959
762,757,HankAaron,RF,1970,ATL,150,516,103,154,26,1,38,118,74,63,9,0,.298,.385,.574,.959
763,757,NolanArenado,3B,2017,COL,159,606,100,187,43,7,37,130,62,106,3,2,.309,.373,.586,.959
764,757,DarrellEvans,3B,1973,ATL,161,595,114,167,25,8,41,104,124,104,6,3,.281,.403,.556,.959
765,757,BobJohnson,LF,1944,BOS,144,525,106,170,40,8,17,106,95,67,2,7,.324,.431,.528,.959
766,757,HarlondClift,3B,1937,SLB,155,571,103,175,36,7,29,118,98,80,8,5,.306,.413,.546,.959
767,757,HootEvers,LF,1950,DET,143,526,100,170,35,11,21,103,71,40,5,9,.323,.408,.551,.959
768,757,DonHurst,1B,1932,PHI,150,579,109,196,41,4,24,143,65,27,10,--,.339,.412,.547,.959
769,757,JimBottomley,1B,1929,STL,146,560,108,176,31,12,29,137,70,54,3,--,.314,.391,.568,.959
770,757,NapLajoie,2B,1910,CLE,159,591,94,227,51,7,4,76,60,,26,--,.384,.445,.514,.959
771,757,LewFonseca,1B,1929,CLE,148,566,97,209,44,15,6,103,50,23,19,11,.369,.427,.532,.959
772,773,BobJohnson,CF,1938,PHA,152,563,114,176,27,9,30,113,87,73,9,8,.313,.406,.552,.958
773,773,DavidJustice,RF,1994,ATL,104,352,61,110,16,2,19,59,69,45,2,4,.313,.427,.531,.958
774,773,AndresGalarraga,1B,1996,COL,159,626,119,190,39,3,47,150,40,157,18,8,.304,.357,.601,.958
775,773,JimThome,1B,2003,PHI,159,578,111,154,30,3,47,131,111,182,0,3,.266,.385,.573,.958
776,773,AdriánGonzález,1B,2009,SD,160,552,90,153,27,2,40,99,119,109,1,1,.277,.407,.551,.958
777,773,AdriánGonzález,1B,2011,BOS,159,630,108,213,45,3,27,117,74,119,1,0,.338,.410,.548,.958
778,773,TonyGwynn,RF,1987,SD,157,589,119,218,36,13,7,54,82,35,56,12,.370,.447,.511,.958
779,773,RayBlades,LF,1925,STL,122,462,112,158,37,8,12,57,59,47,6,8,.342,.423,.535,.958
780,773,PaulWaner,RF,1929,PIT,151,596,131,200,43,15,15,100,89,24,15,--,.336,.424,.534,.958
781,773,KenWilliams,LF,1924,SLB,115,398,80,129,21,4,18,84,69,17,20,11,.324,.425,.533,.958
782,783,BernieWilliams,CF,2000,NYY,141,537,108,165,37,6,30,121,71,84,13,5,.307,.391,.566,.957
783,783,BusterPosey,C,2012,SF,148,530,78,178,39,1,24,103,69,96,1,1,.336,.408,.549,.957
784,783,HarmonKillebrew,3B,1970,MIN,157,527,96,143,20,1,41,113,128,84,0,3,.271,.411,.546,.957
785,783,MickeyMantle,CF,1960,NYY,153,527,119,145,17,6,40,94,111,125,14,3,.275,.399,.558,.957
786,783,BobAllison,1B,1964,MIN,149,492,90,141,27,4,32,86,92,99,10,1,.287,.404,.553,.957
787,783,FernandoTatis,3B,1999,STL,149,537,104,160,31,2,34,107,82,128,21,9,.298,.404,.553,.957
788,783,FredMcGriff,1B,1999,TB,144,529,75,164,30,1,32,104,86,107,1,0,.310,.405,.552,.957
789,783,JoseAltuve,2B,2017,HOU,153,590,112,204,39,4,24,81,58,84,32,6,.346,.410,.547,.957
790,783,RichardHidalgo,RF,2003,HOU,141,514,91,159,43,4,28,88,58,104,9,7,.309,.385,.572,.957
791,783,JoséRamírez,3B,2017,CLE,152,585,107,186,56,6,29,83,52,69,17,5,.318,.374,.583,.957
792,783,MikePiazza,C,2001,NYM,141,503,81,151,29,0,36,94,67,87,0,2,.300,.384,.573,.957
793,783,AdamDunn,LF,2004,CIN,161,568,105,151,34,0,46,102,108,195,6,1,.266,.388,.569,.957
794,783,GeorgeBell,LF,1987,TOR,156,610,111,188,32,4,47,134,39,75,5,1,.308,.352,.605,.957
795,783,RobinYount,SS,1982,MIL,156,635,129,210,46,12,29,114,54,63,14,3,.331,.379,.578,.957
796,783,HonusWagner,SS,1908,PIT,151,568,100,201,39,19,10,109,54,,53,--,.354,.415,.542,.957
797,798,MiguelCabrera,1B,2016,DET,158,595,92,188,31,1,38,108,75,116,0,0,.316,.393,.563,.956
798,798,TonyGwynn,RF,1997,SD,149,592,97,220,49,2,17,119,43,28,12,5,.372,.409,.547,.956
799,798,DaveKingman,LF,1979,CHC,145,532,97,153,19,5,48,115,45,131,4,2,.288,.343,.613,.956
800,798,JackieRobinson,2B,1951,BRO,153,548,106,185,33,7,19,88,79,27,25,8,.338,.429,.527,.956
801,798,AlSimmons,CF,1926,PHA,147,583,90,199,53,10,19,109,48,49,11,3,.341,.392,.564,.956
802,798,RobertoAlomar,2B,2001,CLE,157,575,113,193,34,12,20,100,80,71,30,6,.336,.415,.541,.956
803,798,JesseBurkett,X,1894,CLE,125,523,138,187,27,14,8,94,84,27,28,--,.358,.447,.509,.956
804,805,BernardGilkey,LF,1996,NYM,153,571,108,181,44,3,30,117,73,125,17,9,.317,.393,.562,.955
805,805,TimRaines,LF,1987,MON,139,530,123,175,34,8,18,68,90,52,50,5,.330,.429,.526,.955
806,805,PedroGuerrero,LF,1987,LA,152,545,89,184,25,2,27,89,74,85,9,7,.338,.416,.539,.955
807,805,FrankRobinson,RF,1969,BAL,148,539,111,166,19,5,32,100,88,62,9,3,.308,.415,.540,.955
808,805,AlbertPujols,LF,2002,STL,157,590,118,185,40,2,34,127,72,69,2,4,.314,.394,.561,.955
809,805,RobertoClemente,RF,1969,PIT,138,507,87,175,20,12,19,91,56,73,4,1,.345,.411,.544,.955
810,805,CarlosDelgado,1B,2002,TOR,143,505,103,140,34,2,33,108,102,126,1,0,.277,.406,.549,.955
811,805,RafaelPalmeiro,1B,2000,TEX,158,565,102,163,29,3,39,120,103,77,2,1,.288,.397,.558,.955
