,RANK,PLAYER,YEAR,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
439,436,RudyYork,C,1938,DET,135,463,85,138,27,2,33,127,92,74,1,2,.298,.417,.579,.996
440,436,RayLankford,CF,1997,STL,133,465,94,137,36,3,31,98,95,125,21,11,.295,.411,.585,.996
441,442,BobbyAbreu,RF,1999,PHI,152,546,118,183,35,11,20,93,109,113,27,9,.335,.446,.549,.995
442,442,ReggieJackson,RF,1980,NYY,143,514,94,154,22,4,41,111,83,122,1,2,.300,.398,.597,.995
443,442,JoséBautista,RF,2010,TOR,161,569,109,148,35,3,54,124,100,116,9,2,.260,.378,.617,.995
444,442,FredClarke,X,1897,LOU,128,518,120,202,30,13,6,67,45,,57,--,.390,.462,.533,.995
445,446,RyanBraun,LF,2011,MIL,150,563,109,187,38,6,33,111,58,93,33,6,.332,.397,.597,.994
446,446,BrianGiles,LF,2001,PIT,160,576,116,178,37,7,37,95,90,67,13,6,.309,.404,.590,.994
447,446,JoeDiMaggio,CF,1948,NYY,153,594,110,190,26,11,39,155,67,30,1,1,.320,.396,.598,.994
448,446,JimEdmonds,CF,2000,STL,152,525,129,155,25,0,42,108,103,167,10,3,.295,.411,.583,.994
449,446,EdgarMartinez,DH,1998,SEA,154,556,86,179,46,1,29,102,106,96,1,1,.322,.429,.565,.994
450,446,HalTrosky,1B,1939,CLE,122,448,89,150,31,4,25,104,52,28,2,3,.335,.405,.589,.994
451,452,MoVaughn,1B,1998,BOS,154,609,107,205,31,2,40,115,61,144,0,0,.337,.402,.591,.993
452,452,JoséRamírez,3B,2020,CLE,58,219,45,64,16,1,17,46,31,43,10,3,.292,.386,.607,.993
453,452,MikeTrout,CF,2020,LAA,53,199,41,56,9,2,17,46,35,56,1,1,.281,.390,.603,.993
454,452,SammySosa,RF,2002,CHC,150,556,122,160,19,2,49,108,103,144,2,0,.288,.399,.594,.993
455,452,DominicSmith,1B,2020,NYM,50,177,27,56,21,1,10,42,14,45,0,0,.316,.377,.616,.993
456,452,MattOlson,1B,2023,ATL,162,608,127,172,27,3,54,139,104,167,1,0,.283,.389,.604,.993
457,452,JimmieFoxx,1B,1940,BOS,144,515,106,153,30,4,36,119,101,87,4,7,.297,.412,.581,.993
458,452,JohnMcGraw,3B,1899,BAL,117,399,140,156,13,3,1,33,124,,73,--,.391,.547,.446,.993
459,452,TravisHafner,DH,2004,CLE,140,482,96,150,41,3,28,109,68,111,3,2,.311,.410,.583,.993
460,452,RudyYork,1B,1940,DET,155,588,105,186,46,6,33,134,89,88,3,2,.316,.410,.583,.993
461,452,BobJohnson,LF,1939,PHA,150,544,115,184,30,9,23,114,99,59,15,5,.338,.440,.553,.993
462,452,PaulWaner,RF,1928,PIT,152,602,142,223,50,19,6,86,77,16,6,--,.370,.446,.547,.993
463,452,HarryHeilmann,RF,1930,CIN,142,459,79,153,43,6,19,91,64,50,2,--,.333,.416,.577,.993
464,465,RogerMaris,RF,1961,NYY,161,590,132,159,16,4,61,141,94,67,0,0,.269,.372,.620,.992
465,465,NelsonCruz,DH,2020,MIN,53,185,33,56,6,0,16,33,25,58,0,0,.303,.397,.595,.992
466,465,EricDavis,CF,1987,CIN,129,474,120,139,23,4,37,100,84,134,50,6,.293,.399,.593,.992
467,465,MikeTrout,CF,2015,LAA,159,575,104,172,32,6,41,90,92,158,11,7,.299,.402,.590,.992
468,465,AndresGalarraga,1B,1998,ATL,153,555,103,169,27,1,44,121,63,146,7,6,.305,.397,.595,.992
469,465,RicoPetrocelli,SS,1969,BOS,154,535,92,159,32,2,40,97,98,68,3,5,.297,.403,.589,.992
470,465,HackWilson,CF,1928,CHC,145,520,89,163,32,9,31,120,77,94,4,--,.313,.404,.588,.992
471,472,MikeTrout,CF,2016,LAA,159,549,123,173,32,5,29,100,116,137,30,7,.315,.441,.550,.991
472,472,JimBottomley,1B,1925,STL,153,619,92,227,44,12,21,128,47,36,3,4,.367,.413,.578,.991
473,472,BillDahlen,SS,1896,CHI,125,474,137,167,30,19,9,74,64,36,51,--,.352,.438,.553,.991
474,475,TonyPerez,3B,1970,CIN,158,587,107,186,28,6,40,129,83,134,8,3,.317,.401,.589,.990
475,475,DannyTartabull,RF,1991,KC,132,484,78,153,35,3,31,100,65,121,6,3,.316,.397,.593,.990
476,475,WillieMays,CF,1964,SF,157,578,121,171,21,9,47,111,82,72,19,5,.296,.383,.607,.990
477,475,DerekJeter,SS,1999,NYY,158,627,134,219,37,9,24,102,91,116,19,8,.349,.438,.552,.990
478,475,RogersHornsby,2B,1920,STL,149,589,96,218,44,20,9,94,60,50,12,15,.370,.431,.559,.990
479,475,TonyLazzeri,2B,1929,NYY,147,545,101,193,37,11,18,106,68,45,9,10,.354,.429,.561,.990
480,475,KenWilliams,LF,1921,SLB,146,547,115,190,31,7,24,117,74,42,20,17,.347,.429,.561,.990
481,475,ChickHafey,LF,1928,STL,138,520,101,175,46,6,27,111,40,53,8,--,.337,.386,.604,.990
482,483,MoisesAlou,LF,1994,MON,107,422,81,143,31,5,22,78,42,63,7,6,.339,.397,.592,.989
483,483,VladimirGuerrero,RF,2004,ANA,156,612,124,206,39,2,39,126,52,74,15,3,.337,.391,.598,.989
484,483,FreddieFreeman,1B,2017,ATL,117,440,84,135,35,2,28,71,65,95,8,5,.307,.403,.586,.989
485,483,MikeTrout,CF,2013,LAA,157,589,109,190,39,9,27,97,110,136,33,7,.323,.432,.557,.989
486,483,StanMusial,RF,1944,STL,146,568,112,197,51,14,12,94,90,28,7,--,.347,.440,.549,.989
487,483,WallyBerger,LF,1930,BSN,151,555,98,172,27,14,38,119,54,69,3,--,.310,.375,.614,.989
488,483,HeinieManush,LF,1928,SLB,154,638,104,241,47,20,13,108,39,14,17,5,.378,.414,.575,.989
489,483,HeinieZimmerman,3B,1912,CHC,145,557,95,207,41,14,14,99,38,60,23,--,.372,.418,.571,.989
490,491,DanBrouthers,1B,1887,DET,123,500,153,169,36,20,12,101,71,9,34,--,.338,.426,.562,.988
491,491,AndyPafko,CF,1950,CHC,146,514,95,156,24,8,36,92,69,32,4,--,.304,.397,.591,.988
492,491,LarryWalker,RF,1995,COL,131,494,96,151,31,5,36,101,49,72,16,3,.306,.381,.607,.988
493,491,GregLuzinski,LF,1977,PHI,149,554,99,171,35,3,39,130,80,140,3,2,.309,.394,.594,.988
