,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,AaronJudge,CF,NYY,157,570,133,177,28,0,62,131,111,175,16,3,.311,.425,.686,1.111
1,2,YordanAlvarez,DH,HOU,135,470,95,144,29,2,37,97,78,106,1,1,.306,.406,.613,1.019
2,3,PaulGoldschmidt,1B,STL,151,561,106,178,41,0,35,115,79,141,7,0,.317,.404,.578,.982
3,4,JoseAltuve,2B,HOU,141,527,103,158,39,0,28,57,66,87,18,1,.300,.387,.533,.920
4,5,FreddieFreeman,1B,LAD,159,612,117,199,47,2,21,100,84,102,13,3,.325,.407,.511,.918
5,6,MannyMachado,3B,SD,150,578,100,172,37,1,32,102,63,133,9,1,.298,.366,.531,.897
6,7,NolanArenado,3B,STL,148,557,73,163,42,1,30,103,52,72,5,3,.293,.358,.533,.891
7,8,RafaelDevers,3B,BOS,141,555,84,164,42,1,27,88,50,114,3,1,.295,.358,.521,.879
8,9,AustinRiley,3B,ATL,159,615,90,168,39,2,38,93,57,168,2,0,.273,.349,.528,.877
9,10,ShoheiOhtani,DH,LAA,157,586,90,160,30,6,34,95,72,161,11,9,.273,.356,.519,.875
10,11,MookieBetts,RF,LAD,142,572,117,154,40,3,35,82,55,104,12,2,.269,.340,.533,.873
11,12,PeteAlonso,1B,NYM,160,597,95,162,27,0,40,131,67,128,5,1,.271,.352,.518,.870
12,13,JoséRamírez,3B,CLE,157,601,90,168,44,5,29,126,69,82,20,7,.280,.355,.514,.869
13,14,JulioRodríguez,CF,SEA,132,511,84,145,25,3,28,75,40,145,25,7,.284,.345,.509,.854
14,15,JuanSoto,RF,SD,153,524,93,127,25,2,27,62,135,96,6,2,.242,.401,.452,.853
15,16,NathanielLowe,1B,TEX,157,593,74,179,26,3,27,76,48,147,2,2,.302,.358,.492,.850
16,17,AndrésGiménez,2B,CLE,146,491,66,146,26,3,17,69,34,112,20,3,.297,.371,.466,.837
17,18,JeffMcNeil,2B,NYM,148,533,73,174,39,1,9,62,40,61,4,0,.326,.382,.454,.836
18,19,XanderBogaerts,SS,BOS,150,557,84,171,38,0,15,73,57,118,8,2,.307,.377,.456,.833
19,19,CarlosCorrea,SS,MIN,136,522,70,152,24,1,22,64,61,121,0,1,.291,.366,.467,.833
20,19,TaylorWard,RF,LAA,135,495,73,139,22,2,23,65,60,120,5,3,.281,.360,.473,.833
21,22,KyleSchwarber,LF,PHI,155,577,100,126,21,3,46,94,86,200,10,1,.218,.323,.504,.827
22,23,JoséAbreu,1B,CWS,157,601,85,183,40,0,15,75,62,110,0,0,.304,.378,.446,.824
23,23,YandyDíaz,3B,TB,137,473,71,140,33,0,9,57,78,60,3,3,.296,.401,.423,.824
24,25,AlexBregman,3B,HOU,155,548,93,142,38,0,23,93,87,77,1,2,.259,.366,.454,.820
25,25,J.T.Realmuto,C,PHI,139,504,75,139,26,5,22,84,41,119,21,1,.276,.342,.478,.820
26,27,VladimirGuerrero,1B,TOR,160,638,90,175,35,0,32,97,58,116,8,3,.274,.339,.480,.819
27,28,AnthonyRizzo,1B,NYY,130,465,77,104,21,1,32,75,58,101,6,5,.224,.338,.480,.818
28,29,StarlingMarte,RF,NYM,118,466,76,136,24,5,16,63,26,97,18,9,.292,.347,.468,.815
29,30,GeorgeSpringer,CF,TOR,133,513,89,137,22,4,25,76,54,100,14,2,.267,.342,.472,.814
30,31,BrandonDrury,1B,SD,138,518,87,136,31,2,28,87,38,126,2,3,.263,.320,.492,.812
31,32,TreaTurner,SS,LAD,160,652,101,194,39,4,21,100,45,131,27,3,.298,.343,.466,.809
32,33,WillSmith,C,LAD,137,508,68,132,26,3,24,87,56,96,1,0,.260,.343,.465,.808
33,33,KyleTucker,RF,HOU,150,544,71,140,28,1,30,107,59,95,25,4,.257,.330,.478,.808
34,35,TeoscarHernández,RF,TOR,131,499,71,133,35,1,25,77,34,152,6,3,.267,.316,.491,.807
35,35,HunterRenfroe,RF,MIL,125,474,62,121,23,1,29,72,39,121,1,1,.255,.315,.492,.807
36,37,BryanReynolds,CF,PIT,145,542,74,142,19,4,27,62,56,141,7,3,.262,.345,.461,.806
37,38,ChristianWalker,1B,AZ,160,583,84,141,25,2,36,94,69,131,2,2,.242,.327,.477,.804
38,39,BoBichette,SS,TOR,159,652,91,189,43,1,24,93,41,155,13,8,.290,.333,.469,.802
39,39,MattOlson,1B,ATL,162,616,86,148,44,0,34,103,75,170,0,0,.240,.325,.477,.802
40,41,BrandonNimmo,CF,NYM,151,580,102,159,30,7,16,64,71,116,3,2,.274,.367,.433,.800
41,42,LuisArraez,1B,MIN,144,547,88,173,31,1,8,49,50,43,4,4,.316,.375,.420,.795
42,43,RhysHoskins,1B,PHI,156,589,81,145,33,2,30,79,72,169,2,1,.246,.332,.462,.794
43,44,EugenioSuárez,3B,SEA,150,543,76,128,24,2,31,87,73,196,0,0,.236,.332,.459,.791
44,45,J.D.Martinez,DH,BOS,139,533,76,146,43,1,16,62,52,145,0,0,.274,.341,.448,.789
45,46,FranciscoLindor,SS,NYM,161,630,98,170,25,5,26,107,59,133,16,6,.270,.339,.449,.788
46,46,JustinTurner,3B,LAD,128,468,61,130,36,0,13,81,50,89,3,0,.278,.350,.438,.788
47,48,AlejandroKirk,C,TOR,139,470,59,134,19,0,14,63,63,58,0,0,.285,.372,.415,.787
48,49,JoshBell,DH,SD,156,552,78,147,29,3,17,71,81,102,0,1,.266,.362,.422,.784
49,50,C.J.Cron,1B,COL,150,575,79,148,28,3,29,102,43,164,0,0,.257,.315,.468,.783
50,51,IanHapp,LF,CHC,158,573,72,155,42,2,17,72,58,149,9,4,.271,.342,.440,.782
51,52,DansbySwanson,SS,ATL,162,640,99,177,32,1,25,96,49,182,18,7,.277,.329,.447,.776
52,53,TyFrance,1B,SEA,140,551,65,151,27,1,20,83,35,94,0,0,.274,.338,.436,.774
53,54,StevenKwan,LF,CLE,147,563,89,168,25,7,6,52,62,60,19,5,.298,.373,.400,.773
54,54,AnthonySantander,RF,BAL,152,574,78,138,24,0,33,89,55,122,0,2,.240,.318,.455,.773
55,56,RandyArozarena,LF,TB,153,586,72,154,41,3,20,89,46,156,32,12,.263,.327,.445,.772
56,56,AndrewBenintendi,LF,NYY,126,461,54,140,23,3,5,51,52,77,8,3,.304,.373,.399,.772
57,56,CoreySeager,SS,TEX,151,593,91,145,24,1,33,83,58,103,3,0,.245,.317,.455,.772
58,59,MarkCanha,LF,NYM,140,462,71,123,24,0,13,61,48,97,3,1,.266,.367,.403,.770
59,60,RowdyTellez,1B,MIL,153,529,67,116,23,0,35,89,62,121,2,1,.219,.306,.461,.767
60,60,GioUrshela,3B,MIN,144,501,61,143,27,3,13,64,41,96,1,0,.285,.338,.429,.767
61,62,RonaldAcuña,RF,ATL,119,467,71,124,24,0,15,50,53,126,29,11,.266,.351,.413,.764
62,63,GleyberTorres,2B,NYY,140,526,73,135,28,1,24,76,39,129,10,5,.257,.310,.451,.761
63,64,SeanMurphy,C,OAK,148,537,67,134,37,2,18,66,56,124,1,0,.250,.332,.426,.758
64,65,MattChapman,3B,TOR,155,538,83,123,27,1,27,76,68,170,2,2,.229,.324,.433,.757
65,66,WillyAdames,SS,MIL,139,563,83,134,31,0,31,98,49,166,8,3,.238,.298,.458,.756
66,66,AdolisGarcía,RF,TEX,156,605,88,151,34,5,27,101,40,183,25,6,.250,.300,.456,.756
67,68,AndrewVaughn,RF,CWS,134,510,60,138,28,1,17,76,31,96,0,0,.271,.321,.429,.750
68,69,SethBrown,1B,OAK,150,500,55,115,26,3,25,73,51,146,11,2,.230,.305,.444,.749
69,70,DaultonVarsho,RF,AZ,151,531,79,125,23,3,27,74,46,145,16,6,.235,.302,.443,.745
70,71,RyanMcMahon,3B,COL,153,529,67,130,23,3,20,67,60,158,7,3,.246,.327,.414,.741
71,72,JoshRojas,3B,AZ,125,443,66,119,25,1,9,56,55,98,23,3,.269,.349,.391,.740
72,73,ChristianYelich,LF,MIL,154,575,99,145,25,4,14,57,88,162,19,3,.252,.355,.383,.738
73,74,NicoHoerner,SS,CHC,135,481,60,135,22,5,10,55,28,57,20,2,.281,.327,.410,.737
74,75,DJLeMahieu,3B,NYY,125,467,74,122,18,0,12,46,67,71,4,3,.261,.357,.377,.734
75,76,CharlieBlackmon,DH,COL,135,530,60,140,22,6,16,78,32,109,4,1,.264,.314,.419,.733
76,76,BrendanRodgers,2B,COL,137,527,72,140,30,3,13,63,46,101,0,0,.266,.325,.408,.733
77,76,MarcusSemien,2B,TEX,161,657,101,163,31,5,26,83,53,120,25,8,.248,.304,.429,.733
78,76,AlexVerdugo,LF,BOS,152,593,75,166,39,1,11,74,42,86,1,3,.280,.328,.405,.733
79,80,KetelMarte,2B,AZ,137,492,68,118,42,2,12,52,55,101,5,1,.240,.321,.407,.728
80,80,RyanMountcastle,1B,BAL,145,555,62,139,28,1,22,85,43,154,4,1,.250,.305,.423,.728
81,82,EduardoEscobar,3B,NYM,136,495,58,119,26,4,20,69,40,129,0,2,.240,.295,.430,.725
