,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
82,83,TommyEdman,2B,STL,153,577,95,153,31,4,13,57,46,111,32,3,.265,.324,.400,.724
83,83,RandalGrichuk,RF,COL,141,506,60,131,21,3,19,73,24,127,4,0,.259,.299,.425,.724
84,83,PatrickWisdom,3B,CHC,134,469,67,97,28,0,25,66,53,183,8,4,.207,.298,.426,.724
85,86,LuisRengifo,2B,LAA,127,489,45,129,22,4,17,52,17,79,6,2,.264,.294,.429,.723
86,87,JakeCronenworth,2B,SD,158,587,88,140,30,4,17,88,70,131,3,0,.239,.332,.390,.722
87,87,ThairoEstrada,2B,SF,140,488,71,127,22,2,14,62,33,89,21,6,.260,.322,.400,.722
88,87,JuricksonProfar,LF,SD,152,575,82,140,36,2,15,58,73,103,5,1,.243,.331,.391,.722
89,87,BobbyWitt,SS,KC,150,591,82,150,31,6,20,80,30,135,30,7,.254,.294,.428,.722
90,91,CedricMullins,CF,BAL,156,608,89,157,32,4,16,64,47,126,34,10,.258,.318,.403,.721
91,92,AustinHays,LF,BAL,145,535,66,134,35,2,16,60,34,114,2,4,.250,.306,.413,.719
92,93,JeremyPeña,SS,HOU,136,521,72,132,20,2,22,63,22,135,11,2,.253,.289,.426,.715
93,93,AmedRosario,SS,CLE,153,637,86,180,26,9,11,71,25,111,18,4,.283,.312,.403,.715
94,95,AlecBohm,3B,PHI,152,586,79,164,24,3,13,72,31,110,2,3,.280,.315,.398,.713
95,95,MaxMuncy,3B,LAD,136,464,69,91,22,1,21,69,90,141,2,0,.196,.329,.384,.713
96,97,WilmerFlores,2B,SF,151,525,72,120,28,1,19,71,59,103,0,0,.229,.316,.394,.710
97,97,TreyMancini,DH,HOU,143,519,56,124,23,1,18,63,53,135,0,0,.239,.319,.391,.710
98,97,LukeVoit,DH,WSH,135,500,55,113,22,0,22,69,55,179,1,1,.226,.308,.402,.710
99,100,Ha-SeongKim,SS,SD,150,517,58,130,29,3,11,59,51,100,12,2,.251,.325,.383,.708
100,101,ElvisAndrus,SS,CWS,149,535,66,133,32,0,17,58,39,92,18,4,.249,.303,.404,.707
101,102,MJMelendez,C,KC,129,460,57,100,21,3,18,62,66,131,2,3,.217,.313,.393,.706
102,103,LaneThomas,LF,WSH,146,498,62,120,26,2,17,52,41,132,8,4,.241,.301,.404,.705
103,104,KyleFarmer,SS,CIN,145,526,58,134,25,1,14,78,33,99,4,3,.255,.315,.386,.701
104,105,AndrewMcCutchen,DH,MIL,134,515,66,122,25,0,17,69,57,124,8,6,.237,.316,.384,.700
105,106,MikeYastrzemski,RF,SF,148,485,73,104,31,2,17,57,61,141,5,1,.214,.305,.392,.697
106,107,NickCastellanos,RF,PHI,136,524,56,138,27,0,13,62,29,130,7,1,.263,.305,.389,.694
107,108,CarlosSantana,DH,SEA,131,431,52,87,18,0,19,60,71,88,0,0,.202,.316,.376,.692
108,109,JesseWinker,LF,SEA,136,456,51,100,15,0,14,53,84,103,0,0,.219,.344,.344,.688
109,110,MarcellOzuna,DH,ATL,124,470,56,106,19,0,23,56,31,122,2,1,.226,.274,.413,.687
110,111,TommyPham,LF,BOS,144,554,89,131,23,1,17,63,56,167,8,3,.236,.312,.374,.686
111,112,JoshDonaldson,3B,NYY,132,478,59,106,28,0,15,62,54,148,2,2,.222,.308,.374,.682
112,113,AJPollock,LF,CWS,138,489,61,120,26,1,14,56,32,98,3,1,.245,.292,.389,.681
113,114,J.P.Crawford,SS,SEA,145,518,57,126,24,3,6,42,68,80,3,2,.243,.339,.336,.675
114,115,WhitMerrifield,2B,TOR,139,504,70,126,28,1,11,58,38,85,16,5,.250,.298,.375,.673
115,116,JavierBáez,SS,DET,144,555,64,132,27,4,17,67,26,147,9,2,.238,.278,.393,.671
116,117,JesúsAguilar,DH,BAL,129,464,39,109,19,0,16,51,28,119,1,0,.235,.281,.379,.660
117,118,Ke'BryanHayes,3B,PIT,136,505,55,123,24,3,7,41,48,122,20,5,.244,.314,.345,.659
118,119,CodyBellinger,CF,LAD,144,504,70,106,27,3,19,68,38,150,14,3,.210,.265,.389,.654
119,120,NelsonCruz,DH,WSH,124,448,50,105,16,0,10,64,49,119,4,0,.234,.313,.337,.650
120,121,YuliGurriel,1B,HOU,146,545,53,132,40,0,8,53,30,73,8,0,.242,.288,.360,.648
121,122,JorgeMateo,SS,BAL,150,494,63,109,25,7,13,50,27,147,35,9,.221,.267,.379,.646
122,123,TonyKemp,2B,OAK,147,497,61,117,24,2,7,46,45,69,11,1,.235,.307,.334,.641
123,123,IsiahKiner-Falefa,SS,NYY,142,483,66,126,20,0,4,48,35,72,22,4,.261,.314,.327,.641
124,125,CésarHernández,2B,WSH,147,560,64,139,28,4,1,34,45,114,10,4,.248,.311,.318,.629
125,126,TrentGrisham,CF,SD,152,451,58,83,16,2,17,53,57,150,7,1,.184,.284,.341,.625
126,127,AdamFrazier,2B,SEA,156,541,61,129,22,4,3,42,46,73,11,6,.238,.301,.311,.612
127,128,MiguelRojas,SS,MIA,140,471,34,111,19,2,6,36,26,61,9,3,.236,.283,.323,.606
128,129,MylesStraw,CF,CLE,152,535,72,118,22,3,0,32,54,87,21,1,.221,.291,.273,.564
129,130,JonathanSchoop,2B,DET,131,481,48,97,23,1,11,38,19,107,5,0,.202,.239,.322,.561
