,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,ShoheiOhtani,DH,LAA,135,497,102,151,26,8,44,95,91,143,20,6,.304,.412,.654,1.066
1,2,CoreySeager,SS,TEX,119,477,88,156,42,0,33,96,49,88,2,1,.327,.390,.623,1.013
2,3,RonaldAcuña,RF,ATL,159,643,149,217,35,4,41,106,80,84,73,14,.337,.416,.596,1.012
3,4,MattOlson,1B,ATL,162,608,127,172,27,3,54,139,104,167,1,0,.283,.389,.604,.993
4,5,MookieBetts,RF,LAD,152,584,126,179,40,1,39,107,96,107,14,3,.307,.408,.579,.987
5,6,FreddieFreeman,1B,LAD,161,637,131,211,59,2,29,102,72,121,23,1,.331,.410,.567,.977
6,7,YandyDíaz,1B,TB,137,525,95,173,35,0,22,78,65,94,0,1,.330,.410,.522,.932
7,8,JuanSoto,LF,SD,162,568,97,156,32,1,35,109,132,129,12,5,.275,.410,.519,.929
8,9,MarcellOzuna,DH,ATL,144,530,84,145,29,1,40,100,57,134,0,0,.274,.346,.558,.904
9,10,BryceHarper,DH,PHI,126,457,84,134,29,1,21,72,80,119,11,3,.293,.401,.499,.900
10,11,KyleTucker,RF,HOU,157,574,97,163,37,5,29,112,80,92,30,5,.284,.369,.517,.886
11,12,CodyBellinger,CF,CHC,130,499,95,153,29,1,26,97,40,87,20,6,.307,.356,.525,.881
12,13,CorbinCarroll,LF,AZ,155,565,116,161,30,10,25,76,57,125,54,5,.285,.362,.506,.868
13,14,LuisArraez,2B,MIA,147,574,71,203,30,3,10,69,35,34,3,2,.354,.393,.469,.862
14,15,AustinRiley,3B,ATL,159,636,117,179,32,3,37,97,59,172,3,1,.281,.345,.516,.861
15,16,TristonCasas,1B,BOS,132,429,66,113,21,2,24,65,70,126,0,0,.263,.367,.490,.857
16,16,LuisRobert,CF,CWS,145,546,90,144,36,1,38,80,30,172,20,4,.264,.315,.542,.857
17,18,JorgeSoler,DH,MIA,137,504,77,126,24,0,36,75,66,141,1,0,.250,.341,.512,.853
18,19,RafaelDevers,3B,BOS,153,580,90,157,34,0,33,100,62,126,5,1,.271,.351,.500,.851
19,20,OzzieAlbies,2B,ATL,148,596,96,167,30,5,33,109,46,107,13,1,.280,.336,.513,.849
20,21,KetelMarte,2B,AZ,150,569,94,157,26,9,25,82,71,109,8,2,.276,.358,.485,.843
21,22,SeiyaSuzuki,RF,CHC,138,515,75,147,31,6,20,74,59,130,6,7,.285,.357,.485,.842
22,23,IsaacParedes,3B,TB,143,492,71,123,24,0,31,98,58,104,1,0,.250,.352,.488,.840
23,24,AdolisGarcía,RF,TEX,148,555,108,136,29,0,39,107,65,175,9,1,.245,.328,.508,.836
24,25,JoséRamírez,3B,CLE,156,611,87,172,36,5,24,80,73,73,28,6,.282,.356,.475,.831
25,26,ChristianWalker,1B,AZ,157,582,86,150,36,2,33,103,62,127,11,0,.258,.333,.497,.830
26,27,BrandonNimmo,CF,NYM,152,592,89,162,30,6,24,68,74,146,3,3,.274,.363,.466,.829
27,28,JakeBurger,3B,MIA,141,492,71,123,28,1,34,80,32,149,1,1,.250,.309,.518,.827
28,29,MarcusSemien,2B,TEX,162,670,122,185,40,4,29,100,72,110,14,3,.276,.348,.478,.826
29,30,WilliamContreras,C,MIL,141,540,86,156,38,1,17,78,63,126,6,1,.289,.367,.457,.824
30,31,PeteAlonso,1B,NYM,154,568,92,123,21,2,46,118,65,151,4,1,.217,.318,.504,.822
31,32,SpencerSteer,1B,CIN,156,582,74,158,37,3,23,86,68,139,15,3,.271,.356,.464,.820
32,33,TJFriedl,CF,CIN,138,488,73,136,22,8,18,66,47,90,27,6,.279,.352,.467,.819
33,34,J.P.Crawford,SS,SEA,145,534,94,142,35,0,19,65,94,125,2,0,.266,.380,.438,.818
34,34,JulioRodríguez,CF,SEA,155,654,102,180,37,2,32,103,47,175,37,10,.275,.333,.485,.818
35,36,BrentRooker,DH,OAK,137,463,61,114,20,1,30,69,49,172,4,0,.246,.329,.488,.817
36,36,KyleSchwarber,LF,PHI,160,585,108,115,19,1,47,104,126,215,0,2,.197,.343,.474,.817
37,36,ChristianYelich,LF,MIL,144,550,106,153,34,1,19,76,78,140,28,3,.278,.370,.447,.817
38,39,BoBichette,SS,TOR,135,571,69,175,30,3,20,73,27,115,5,3,.306,.339,.475,.814
39,39,GunnarHenderson,3B,BAL,150,560,100,143,29,9,28,82,56,159,10,3,.255,.325,.489,.814
40,39,BobbyWitt,SS,KC,158,641,97,177,28,11,30,96,40,121,49,15,.276,.319,.495,.814
41,42,PaulGoldschmidt,1B,STL,154,593,89,159,31,0,25,80,87,161,11,2,.268,.363,.447,.810
42,43,AdleyRutschman,C,BAL,154,588,84,163,31,1,20,80,92,101,1,2,.277,.374,.435,.809
43,44,MichaelHarris,CF,ATL,138,505,76,148,33,3,18,57,25,101,20,4,.293,.331,.477,.808
44,44,MaxMuncy,3B,LAD,135,482,95,102,17,1,36,105,85,153,1,2,.212,.333,.475,.808
45,46,JeimerCandelario,1B,CHC,140,505,77,127,39,3,22,70,53,127,8,1,.251,.336,.471,.807
46,47,FranciscoLindor,SS,NYM,160,602,108,153,33,2,31,98,66,137,31,4,.254,.336,.470,.806
47,48,AlexBregman,3B,HOU,161,622,103,163,28,4,25,98,92,87,3,1,.262,.363,.441,.804
48,49,BrandonDrury,2B,LAA,125,485,61,127,30,3,26,83,25,136,0,2,.262,.306,.497,.803
49,50,GleyberTorres,2B,NYY,158,596,90,163,28,2,25,68,67,98,13,6,.273,.347,.453,.800
50,50,JustinTurner,DH,BOS,146,558,86,154,31,0,23,96,51,110,4,1,.276,.345,.455,.800
51,52,AnthonySantander,RF,BAL,153,591,81,152,41,1,28,95,55,152,5,1,.257,.325,.472,.797
52,52,WillSmith,C,LAD,126,464,80,121,21,2,19,76,63,89,3,0,.261,.359,.438,.797
53,54,JackSuwinski,CF,PIT,144,447,63,100,21,2,26,74,75,172,13,2,.224,.339,.454,.793
54,55,IanHapp,LF,CHC,158,580,86,144,35,4,21,84,99,153,14,3,.248,.360,.431,.791
55,56,XanderBogaerts,SS,SD,155,596,83,170,31,2,19,58,56,110,19,2,.285,.350,.440,.790
56,56,JamesOutman,CF,LAD,151,483,86,120,16,3,23,70,68,181,16,3,.248,.353,.437,.790
57,56,BryanReynolds,LF,PIT,145,574,85,151,31,5,24,84,53,138,12,1,.263,.330,.460,.790
58,56,LaMonteWade,1B,SF,135,429,64,110,14,2,17,45,76,95,2,0,.256,.373,.417,.790
59,60,RandyArozarena,LF,TB,151,551,95,140,19,3,23,83,80,156,22,10,.254,.364,.425,.789
60,60,VladimirGuerrero,1B,TOR,156,602,78,159,30,0,26,94,67,100,5,3,.264,.345,.444,.789
61,62,NickCastellanos,RF,PHI,157,626,79,170,37,2,29,106,36,185,11,2,.272,.311,.476,.787
62,63,LarsNootbaar,CF,STL,117,426,74,111,23,1,14,46,72,99,11,1,.261,.367,.418,.785
63,64,LaneThomas,RF,WSH,157,628,101,168,36,3,28,86,36,176,20,5,.268,.315,.468,.783
64,64,MasatakaYoshida,LF,BOS,140,537,71,155,33,3,15,72,34,81,8,0,.289,.338,.445,.783
65,66,JoshJung,3B,TEX,122,478,75,127,25,1,23,70,30,151,1,3,.266,.315,.467,.782
66,67,MannyMachado,3B,SD,138,543,75,140,21,0,30,91,50,109,3,2,.258,.319,.462,.781
67,68,TreaTurner,SS,PHI,155,639,102,170,35,5,26,76,45,150,30,0,.266,.320,.459,.779
68,69,NolanArenado,3B,STL,144,560,71,149,26,2,26,93,41,101,3,3,.266,.315,.459,.774
69,69,NathanielLowe,1B,TEX,161,623,89,163,38,3,17,82,93,165,1,0,.262,.360,.414,.774
70,71,LourdesGurriel,LF,AZ,145,551,65,144,35,2,24,82,33,103,5,0,.261,.309,.463,.772
71,72,FernandoTatis,RF,SD,141,575,91,148,33,1,25,78,53,141,29,4,.257,.322,.449,.771
72,73,AustinHays,LF,BAL,144,520,76,143,36,2,16,67,38,141,5,1,.275,.325,.444,.769
73,74,AlecBohm,3B,PHI,145,558,74,153,31,0,20,97,42,94,4,1,.274,.327,.437,.764
74,75,Ke'BryanHayes,3B,PIT,124,494,65,134,31,7,15,61,28,104,10,6,.271,.309,.453,.762
75,75,CalRaleigh,C,SEA,145,513,78,119,23,1,30,75,54,158,0,0,.232,.306,.456,.762
76,75,J.T.Realmuto,C,PHI,135,489,70,123,28,5,20,63,35,138,16,5,.252,.310,.452,.762
77,78,SpencerTorkelson,1B,DET,159,606,88,141,34,1,31,94,67,171,3,0,.233,.313,.446,.759
78,79,MarkCanha,DH,MIL,139,435,51,114,25,1,11,62,49,79,11,1,.262,.355,.400,.755
79,79,EddieRosario,LF,ATL,142,478,64,122,24,3,21,74,34,122,3,4,.255,.305,.450,.755
80,81,MattChapman,3B,TOR,140,509,66,122,39,2,17,54,62,165,4,2,.240,.330,.424,.754
81,82,RyanMcMahon,3B,COL,152,555,80,133,31,3,23,70,68,198,5,5,.240,.322,.431,.753
82,83,Ha-SeongKim,2B,SD,152,538,84,140,23,0,17,60,75,124,38,9,.260,.351,.398,.749
83,84,BrysonStott,2B,PHI,151,585,78,164,32,2,15,62,39,100,31,3,.280,.329,.419,.748
84,85,CarlosSantana,1B,MIL,146,550,78,132,33,1,23,86,65,104,6,0,.240,.318,.429,.747
85,86,JonathanIndia,2B,CIN,119,454,78,111,23,0,17,61,52,109,14,2,.244,.338,.407,.745
86,86,AlexVerdugo,RF,BOS,142,546,81,144,37,5,13,54,45,93,5,3,.264,.324,.421,.745
87,88,JoshBell,1B,MIA,150,547,52,135,28,0,22,74,63,134,0,1,.247,.325,.419,.744
88,88,DansbySwanson,SS,CHC,147,565,81,138,25,3,22,80,66,154,9,1,.244,.328,.416,.744
89,90,AndrewVaughn,1B,CWS,152,566,67,146,30,2,21,80,36,129,0,0,.258,.314,.429,.743
90,91,OrlandoArcia,SS,ATL,139,488,66,129,25,0,17,65,39,102,1,0,.264,.321,.420,.741
91,92,TeoscarHernández,RF,SEA,160,625,70,161,29,2,26,93,38,211,7,2,.258,.305,.435,.740
92,93,J.D.Davis,3B,SF,144,480,61,119,23,1,18,69,52,152,1,0,.248,.325,.413,.738
93,94,LeodyTaveras,CF,TEX,143,511,67,136,31,3,14,67,35,117,14,4,.266,.312,.421,.733
94,95,GeorgeSpringer,RF,TOR,154,613,87,158,25,1,21,72,60,125,20,5,.258,.327,.405,.732
95,96,ThairoEstrada,2B,SF,120,495,63,134,26,2,14,49,22,120,23,7,.271,.315,.416,.731
96,97,NicoHoerner,2B,CHC,150,619,98,175,27,4,9,68,49,83,43,7,.283,.346,.383,.729
97,98,EliasDíaz,C,COL,141,486,48,130,25,1,14,72,34,118,1,0,.267,.316,.409,.725
98,99,JoeyMeneses,DH,WSH,154,611,71,168,36,1,13,89,38,130,0,0,.275,.321,.401,.722
99,100,WillyAdames,SS,MIL,149,553,73,120,29,2,24,80,71,165,5,3,.217,.310,.407,.717
100,100,DJLeMahieu,3B,NYY,136,497,55,121,22,3,15,44,60,125,2,2,.243,.327,.390,.717
101,100,KeibertRuiz,C,WSH,136,523,55,136,24,0,18,67,31,58,1,1,.260,.308,.409,.717
102,100,MattVierling,RF,DET,134,479,63,125,21,5,10,44,44,112,6,6,.261,.329,.388,.717
103,104,BryanDe La Cruz,LF,MIA,153,579,60,149,32,0,19,78,40,142,4,1,.257,.304,.411,.715
104,105,MJMelendez,RF,KC,148,533,65,125,29,5,16,56,62,170,6,4,.235,.316,.398,.714
105,105,SalvadorPerez,C,KC,140,538,59,137,21,0,23,80,19,135,0,0,.255,.292,.422,.714
106,105,EugenioSuárez,3B,SEA,162,598,68,139,29,0,22,96,70,214,2,1,.232,.323,.391,.714
107,108,AndrésGiménez,2B,CLE,153,557,76,140,27,5,15,62,32,112,30,6,.251,.314,.399,.713
108,108,HunterRenfroe,DH,CIN,140,498,60,116,31,0,20,60,44,125,0,0,.233,.297,.416,.713
109,110,CJAbrams,SS,WSH,151,563,83,138,28,6,18,64,32,118,47,4,.245,.300,.412,.712
110,111,CarlosCorrea,SS,MIN,135,514,60,118,29,2,18,65,59,131,0,0,.230,.312,.399,.711
111,111,JeffMcNeil,2B,NYM,156,585,75,158,25,4,10,55,39,65,10,0,.270,.333,.378,.711
112,113,StevenKwan,LF,CLE,158,638,93,171,36,7,5,54,70,75,21,3,.268,.340,.370,.710
113,114,TommyEdman,2B,STL,137,479,69,119,25,4,13,47,35,84,27,4,.248,.307,.399,.706
114,115,JeremyPeña,SS,HOU,150,577,81,152,32,3,10,52,43,129,13,9,.263,.324,.381,.705
115,116,TyFrance,1B,SEA,158,587,79,147,32,0,12,58,43,117,1,0,.250,.337,.366,.703
116,117,WhitMerrifield,2B,TOR,145,547,66,149,27,0,11,67,36,101,26,10,.272,.318,.382,.700
117,118,TylerStephenson,C,CIN,142,465,59,113,20,2,13,56,47,135,0,1,.243,.317,.378,.695
118,118,EzequielTovar,SS,COL,153,581,79,147,37,4,15,73,25,166,11,5,.253,.287,.408,.695
119,120,DominicSmith,1B,WSH,153,527,57,134,21,1,12,46,47,91,1,1,.254,.326,.366,.692
120,121,JakeCronenworth,1B,SD,127,458,54,105,24,7,10,48,46,97,6,1,.229,.312,.378,.690
121,122,JuricksonProfar,LF,SD,125,459,55,111,27,2,9,46,50,90,1,0,.242,.321,.368,.689
122,123,AmedRosario,2B,LAD,142,510,70,134,25,8,6,58,29,99,15,2,.263,.305,.378,.683
123,124,AndrewBenintendi,LF,CWS,151,562,72,147,34,2,5,45,52,89,13,2,.262,.326,.356,.682
124,125,MaikelGarcia,3B,KC,123,464,59,126,20,4,4,50,38,115,23,7,.272,.323,.358,.681
125,126,JoséAbreu,1B,HOU,141,540,62,128,23,1,18,90,42,130,0,1,.237,.296,.383,.679
126,127,DaultonVarsho,LF,TOR,158,527,65,116,23,3,20,61,45,135,16,7,.220,.285,.389,.674
127,128,TrentGrisham,CF,SD,153,469,67,93,31,1,13,50,75,154,15,3,.198,.315,.352,.667
128,129,AnthonyVolpe,SS,NYY,159,541,62,113,23,4,21,60,52,167,24,5,.209,.283,.383,.666
129,130,ZachMcKinstry,3B,DET,148,464,60,107,21,4,9,35,44,113,16,6,.231,.302,.351,.653
130,131,EnriqueHernández,2B,LAD,140,465,57,110,23,0,11,61,34,97,4,1,.237,.289,.357,.646
131,132,MylesStraw,CF,CLE,147,462,52,110,18,3,1,29,42,97,20,6,.238,.301,.297,.598
