,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
131,131,AmedRosario,SS,NYM,154,554,76,142,26,8,9,51,29,119,24,11,.256,.295,.381,.676
132,133,KyleSeager,3B,SEA,155,583,62,129,36,1,22,78,38,138,2,2,.221,.273,.400,.673
133,134,YangervisSolarte,3B,TOR,122,468,50,106,20,0,17,54,31,72,1,3,.226,.277,.378,.655
134,135,KoleCalhoun,RF,LAA,137,491,71,102,18,2,19,57,53,133,6,2,.208,.283,.369,.652
135,136,VictorMartinez,DH,DET,133,467,32,117,21,0,9,54,32,49,0,0,.251,.297,.353,.650
136,137,MiguelRojas,SS,MIA,153,488,44,123,13,0,11,53,24,69,6,3,.252,.297,.346,.643
137,138,DeeStrange-Gordon,2B,SEA,141,556,62,149,17,8,4,36,9,80,30,12,.268,.288,.349,.637
138,139,BillyHamilton,CF,CIN,153,504,74,119,16,9,4,29,46,132,34,10,.236,.299,.327,.626
139,140,AlcidesEscobar,SS,KC,140,485,54,112,22,3,4,34,29,74,8,2,.231,.279,.313,.592
140,141,ChrisDavis,1B,BAL,128,470,40,79,12,0,16,49,41,192,2,0,.168,.243,.296,.539
