,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,WyattLangford,LF,TEX,15,42,11,16,2,0,5,16,5,12,0,0,.381,.449,.786,1.235
1,2,DavidVillar,3B,SF,16,35,9,12,5,0,3,6,4,8,0,0,.343,.439,.743,1.182
2,3,MichaelToglia,DH,COL,16,36,8,12,3,0,4,12,5,14,1,0,.333,.415,.750,1.165
3,4,MookieBetts,2B,LAD,13,34,10,15,3,0,1,3,5,6,0,1,.441,.513,.618,1.131
4,5,ZackGelof,2B,OAK,15,42,12,15,3,0,4,8,4,15,0,1,.357,.413,.714,1.127
5,6,JamesWood,RF,WSH,18,39,12,13,1,1,3,6,7,11,3,1,.333,.458,.641,1.099
6,7,CobyMayo,3B,BAL,19,41,5,15,7,0,1,11,6,9,1,0,.366,.458,.610,1.068
7,8,GavinSheets,1B,CWS,18,41,6,13,4,0,3,5,5,8,2,1,.317,.396,.634,1.030
8,9,SheaLangeliers,C,OAK,14,38,9,14,2,0,2,5,4,12,0,1,.368,.419,.579,.998
9,10,EllyDe La Cruz,SS,CIN,12,33,9,11,3,1,1,4,5,13,4,0,.333,.421,.576,.997
10,11,JacksonMerrill,CF,SD,13,37,8,13,3,0,2,6,3,3,2,0,.351,.400,.595,.995
11,12,PeteAlonso,1B,NYM,14,35,4,10,5,0,2,3,6,11,0,0,.286,.390,.600,.990
12,12,LuisMatos,RF,SF,15,35,9,9,5,0,3,7,2,4,0,1,.257,.333,.657,.990
13,14,FreddieFreeman,1B,LAD,13,32,6,9,0,1,3,14,2,7,0,0,.281,.324,.625,.949
14,15,MarcusSemien,2B,TEX,15,34,7,9,2,0,2,3,8,9,0,0,.265,.432,.500,.932
15,16,CeddanneRafaela,CF,BOS,16,43,6,12,4,0,3,8,4,12,2,1,.279,.340,.581,.921
16,17,LawrenceButler,CF,OAK,15,39,7,15,4,0,0,4,4,5,1,1,.385,.432,.487,.919
17,18,PaulDeJong,SS,CWS,17,41,5,12,2,0,3,13,3,12,1,1,.293,.340,.561,.901
18,19,GrahamPauley,1B,SD,16,35,8,11,1,1,1,3,5,9,1,0,.314,.400,.486,.886
19,20,LaneThomas,RF,WSH,15,36,8,11,0,0,2,5,6,9,5,1,.306,.409,.472,.881
20,21,LuisGarcía,2B,WSH,14,41,5,12,3,0,2,4,1,7,0,0,.293,.310,.512,.822
21,21,ElehurisMontero,DH,COL,17,42,6,10,3,0,3,9,2,13,0,0,.238,.298,.524,.822
22,21,TylerWade,3B,SD,14,34,9,10,1,1,1,7,3,6,3,0,.294,.351,.471,.822
23,24,JoséFermín,3B,STL,19,35,5,10,2,0,1,2,5,4,1,0,.286,.390,.429,.819
24,25,TylerFitzgerald,SS,SF,15,30,7,7,1,1,1,7,8,14,3,1,.233,.385,.433,.818
25,26,EguyRosario,X,SD,14,33,3,9,3,0,1,6,4,9,2,0,.273,.359,.455,.814
26,27,EzequielDuran,SS,TEX,16,45,7,14,1,1,1,4,3,8,3,1,.311,.354,.444,.798
27,28,EsteuryRuiz,LF,OAK,14,40,4,10,4,1,1,6,4,14,1,0,.250,.318,.475,.793
28,28,JordanWalker,RF,STL,14,36,8,9,2,1,1,8,5,12,2,2,.250,.349,.444,.793
29,30,JoeyMeneses,1B,WSH,14,39,4,12,4,0,0,4,3,4,1,0,.308,.372,.410,.782
30,31,TaylorWard,LF,LAA,15,38,5,10,3,0,1,6,5,8,1,1,.263,.349,.421,.770
31,32,ThairoEstrada,2B,SF,12,35,6,10,2,0,1,4,2,7,1,0,.286,.324,.429,.753
32,33,NolanJones,LF,COL,14,37,6,10,3,1,0,3,4,16,0,0,.270,.341,.405,.746
33,34,MarkVientos,DH,NYM,15,45,8,9,2,0,4,6,2,14,0,0,.200,.234,.511,.745
34,35,AlexanderCanario,RF,CHC,18,40,9,10,2,1,0,2,9,10,3,0,.250,.388,.350,.738
35,36,WilyerAbreu,RF,BOS,18,42,4,7,1,1,2,6,9,17,0,1,.167,.314,.381,.695
36,37,NolanSchanuel,1B,LAA,16,41,2,10,0,1,1,4,4,4,1,1,.244,.311,.366,.677
37,38,JacksonChourio,CF,MIL,13,46,8,13,3,0,0,3,2,10,0,1,.283,.313,.348,.661
38,39,DarellHernaiz,SS,OAK,15,39,7,12,1,0,0,6,2,7,0,1,.308,.326,.333,.659
39,40,BrettBaty,3B,NYM,14,38,7,9,1,0,1,3,2,8,0,1,.237,.293,.342,.635
40,41,GavinLux,SS,LAD,11,32,6,9,0,0,0,3,3,5,0,0,.281,.343,.281,.624
41,42,LukenBaker,DH,STL,20,40,2,9,1,0,1,6,3,12,0,0,.225,.273,.325,.598
42,43,FranciscoLindor,SS,NYM,14,40,4,7,2,0,1,4,1,6,0,0,.175,.190,.300,.490
43,44,DominicFletcher,RF,CWS,19,44,4,7,2,0,0,2,6,18,0,0,.159,.260,.205,.465
44,45,JaredYoung,X,STL,19,34,1,2,1,0,0,1,5,10,1,0,.059,.220,.088,.308
45,46,JarredKelenic,LF,ATL,15,42,3,3,0,0,0,3,4,12,1,0,.071,.152,.071,.223
