,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
44,44,JoshDonaldson,3B,MIN,135,457,73,113,26,0,26,72,74,114,0,0,.247,.352,.475,.827
45,46,JorgePolanco,2B,MIN,152,588,97,158,35,2,33,98,45,118,11,6,.269,.323,.503,.826
46,47,JoshBell,1B,WSH,144,498,75,130,24,1,27,88,65,101,0,0,.261,.347,.476,.823
47,48,AvisaílGarcía,RF,MIL,135,461,68,121,18,0,29,86,38,121,8,4,.262,.330,.490,.820
48,49,WillyAdames,SS,MIL,140,497,77,130,32,1,25,73,57,156,5,4,.262,.337,.481,.818
49,50,HunterRenfroe,RF,BOS,144,521,89,135,33,0,31,96,44,130,1,2,.259,.315,.501,.816
50,51,RandyArozarena,LF,TB,141,529,94,145,32,3,20,69,56,170,20,10,.274,.356,.459,.815
51,52,JavierBáez,2B,NYM,138,502,80,133,18,2,31,87,28,184,18,5,.265,.319,.494,.813
52,52,TyFrance,1B,SEA,152,571,85,166,32,1,18,73,46,106,0,0,.291,.368,.445,.813
53,54,JoeyGallo,LF,NYY,153,498,90,99,13,1,38,77,111,213,6,0,.199,.351,.458,.809
54,55,TimAnderson,SS,CWS,123,527,94,163,29,2,17,61,22,119,18,7,.309,.338,.469,.807
55,56,NolanArenado,3B,STL,157,593,81,151,34,3,34,105,50,96,2,0,.255,.312,.494,.806
56,57,MitchHaniger,RF,SEA,157,620,110,157,23,2,39,100,54,169,1,0,.253,.318,.485,.803
57,58,JakeCronenworth,2B,SD,152,567,94,151,33,7,21,71,55,90,4,3,.266,.340,.460,.800
58,58,TrevorStory,SS,COL,142,526,88,132,34,5,24,75,53,139,20,6,.251,.329,.471,.800
59,60,MichaelBrantley,LF,HOU,121,469,68,146,29,3,8,47,33,53,1,0,.311,.362,.437,.799
60,61,OzzieAlbies,2B,ATL,156,629,103,163,40,7,30,106,47,128,20,4,.259,.310,.488,.798
61,62,RyanMountcastle,1B,BAL,144,534,77,136,23,1,33,89,41,161,4,3,.255,.309,.487,.796
62,63,JeimerCandelario,3B,DET,149,557,75,151,42,3,16,67,65,135,0,0,.271,.351,.443,.794
63,64,LuisUrías,3B,MIL,150,490,77,122,25,1,23,75,63,116,5,1,.249,.345,.445,.790
64,65,JesúsAguilar,1B,MIA,131,449,49,117,23,0,22,93,46,93,0,0,.261,.329,.459,.788
65,66,YoánMoncada,3B,CWS,144,520,74,137,33,1,14,61,84,157,3,2,.263,.375,.412,.787
66,67,EduardoEscobar,3B,MIL,146,549,77,139,26,5,28,90,48,124,1,0,.253,.314,.472,.786
67,67,EnriqueHernández,CF,BOS,134,508,84,127,35,3,20,60,61,110,1,0,.250,.337,.449,.786
68,69,LourdesGurriel,LF,TOR,141,500,62,138,28,2,21,84,32,102,1,3,.276,.319,.466,.785
69,70,AnthonyRizzo,1B,NYY,141,496,73,123,23,3,22,61,52,87,6,2,.248,.344,.440,.784
70,70,JeanSegura,2B,PHI,131,514,76,149,27,3,14,58,39,78,9,3,.290,.348,.436,.784
71,72,J.T.Realmuto,C,PHI,134,476,64,125,25,4,17,73,48,129,13,3,.263,.343,.439,.782
72,72,ChrisTaylor,CF,LAD,148,507,92,129,25,4,20,73,63,167,13,1,.254,.344,.438,.782
73,74,DylanCarlson,RF,STL,149,542,79,144,31,4,18,65,57,152,2,1,.266,.343,.437,.780
74,74,RyanMcMahon,3B,COL,151,528,80,134,32,1,23,86,59,147,6,2,.254,.331,.449,.780
75,76,AdamFrazier,2B,SD,155,577,83,176,36,5,5,43,48,69,10,5,.305,.368,.411,.779
76,77,AndrewMcCutchen,LF,PHI,144,482,78,107,24,1,27,80,81,132,6,1,.222,.334,.444,.778
77,77,MiguelSanó,1B,MIN,135,470,68,105,24,0,30,75,59,183,2,1,.223,.312,.466,.778
78,79,AlexVerdugo,LF,BOS,146,544,88,157,32,2,13,63,51,96,6,2,.289,.351,.426,.777
79,80,AustinMeadows,LF,TB,142,518,79,121,29,3,27,106,59,122,4,3,.234,.315,.458,.773
80,81,AdamDuvall,LF,ATL,146,513,67,117,17,2,38,113,35,174,5,0,.228,.281,.491,.772
81,81,RobbieGrossman,LF,DET,156,557,88,133,23,3,23,67,98,155,20,5,.239,.357,.415,.772
82,81,NathanielLowe,1B,TEX,157,557,75,147,24,3,18,72,80,162,8,0,.264,.357,.415,.772
83,84,AustinHays,LF,BAL,131,488,73,125,26,4,22,71,28,107,4,3,.256,.308,.461,.769
84,85,MikeYastrzemski,RF,SF,139,468,75,105,28,3,25,71,51,131,4,0,.224,.311,.457,.768
85,86,AndrewBenintendi,LF,KC,134,493,63,136,27,2,17,73,36,97,8,9,.276,.324,.442,.766
86,87,CharlieBlackmon,RF,COL,150,514,76,139,25,4,13,78,54,91,3,0,.270,.351,.411,.762
87,88,DansbySwanson,SS,ATL,160,588,78,146,33,2,27,88,52,167,9,3,.248,.311,.449,.760
88,89,TreyMancini,1B,BAL,147,556,77,142,33,1,21,71,51,143,0,0,.255,.326,.432,.758
89,90,IanHapp,LF,CHC,148,465,63,105,20,1,25,66,62,156,9,2,.226,.323,.434,.757
90,91,JonathanSchoop,1B,DET,156,623,85,173,30,1,22,84,37,133,2,0,.278,.320,.435,.755
91,92,JoshRojas,2B,AZ,139,484,69,128,32,3,11,44,58,137,9,4,.264,.341,.411,.752
92,93,JorgeSoler,RF,ATL,149,516,74,115,27,0,27,70,67,142,0,0,.223,.316,.432,.748
93,94,MarkCanha,LF,OAK,141,519,93,120,22,4,17,61,77,128,12,2,.231,.358,.387,.745
94,95,NickyLopez,SS,KC,151,497,78,149,21,6,2,43,49,74,22,1,.300,.365,.378,.743
95,96,JoshHarrison,2B,OAK,138,505,58,141,33,2,8,60,31,75,9,5,.279,.341,.400,.741
96,97,YandyDíaz,1B,TB,134,465,62,119,20,1,13,64,69,85,1,1,.256,.353,.387,.740
97,97,AdolisGarcía,CF,TEX,149,581,77,141,26,2,31,90,32,194,16,5,.243,.286,.454,.740
98,97,TrentGrisham,CF,SD,132,462,61,112,28,3,15,62,54,119,13,5,.242,.327,.413,.740
99,100,JonathanVillar,3B,NYM,142,454,63,113,18,2,18,42,46,132,14,7,.249,.322,.416,.738
100,101,FranciscoLindor,SS,NYM,125,452,73,104,16,3,20,63,58,96,10,4,.230,.322,.412,.734
101,102,KyleFarmer,SS,CIN,147,483,60,127,22,2,16,63,22,97,2,3,.263,.316,.416,.732
102,102,EricHosmer,1B,SD,151,509,53,137,28,0,12,65,48,99,5,4,.269,.337,.395,.732
103,102,PavinSmith,1B,AZ,145,498,68,133,27,4,11,49,42,106,1,0,.267,.328,.404,.732
104,105,AmedRosario,SS,CLE,141,550,77,155,25,6,11,57,31,120,13,0,.282,.321,.409,.730
105,106,JazzChisholm,2B,MIA,124,464,70,115,20,4,18,53,34,145,23,8,.248,.303,.425,.728
106,107,DavidPeralta,LF,AZ,150,487,57,126,30,8,8,63,46,92,2,1,.259,.325,.402,.727
107,108,TommyPham,LF,SD,155,475,74,109,24,2,15,49,78,128,14,6,.229,.340,.383,.723
108,108,KyleSeager,3B,SEA,159,603,73,128,29,1,35,101,59,161,3,1,.212,.285,.438,.723
109,110,MattChapman,3B,OAK,151,529,75,111,15,3,27,72,80,202,3,2,.210,.314,.403,.717
110,111,JedLowrie,2B,OAK,139,457,55,112,28,0,14,69,49,108,0,0,.245,.318,.398,.716
111,112,J.P.Crawford,SS,SEA,160,619,89,169,37,0,9,54,58,114,3,6,.273,.338,.376,.714
112,112,MiguelRojas,SS,MIA,132,495,66,131,30,3,9,48,37,74,13,3,.265,.322,.392,.714
113,112,EugenioSuárez,3B,CIN,145,505,71,100,23,0,31,79,56,171,0,1,.198,.286,.428,.714
114,115,WhitMerrifield,2B,KC,162,664,97,184,42,3,10,74,40,103,40,4,.277,.317,.395,.712
115,116,DJLeMahieu,2B,NYY,150,597,84,160,24,1,10,57,73,94,4,2,.268,.349,.362,.711
116,117,RandalGrichuk,CF,TOR,149,511,59,123,25,1,22,81,27,114,0,3,.241,.281,.423,.704
117,118,MiguelCabrera,DH,DET,130,472,48,121,16,0,15,75,40,118,0,0,.256,.316,.386,.702
118,119,JoseIglesias,2B,BOS,137,483,65,131,27,2,9,48,21,75,5,2,.271,.309,.391,.700
119,120,RaimelTapia,LF,COL,133,487,69,133,26,2,6,50,40,70,20,6,.273,.327,.372,.699
120,121,MylesStraw,CF,CLE,158,564,86,153,29,1,4,48,67,121,30,6,.271,.349,.348,.697
121,121,GleyberTorres,SS,NYY,127,459,50,119,22,0,9,51,50,104,14,6,.259,.331,.366,.697
122,123,TommyEdman,2B,STL,159,641,91,168,41,3,11,56,38,95,30,5,.262,.308,.387,.695
123,124,CésarHernández,2B,CWS,149,570,84,132,21,2,21,62,59,135,1,1,.232,.308,.386,.694
124,125,HunterDozier,RF,KC,144,487,55,105,27,6,16,54,43,154,5,4,.216,.285,.394,.679
125,126,NickSolak,2B,TEX,127,458,57,111,18,2,11,49,34,107,7,5,.242,.314,.362,.676
126,127,IsiahKiner-Falefa,SS,TEX,158,635,74,172,25,3,8,53,28,90,20,5,.271,.312,.357,.669
127,128,CarlosSantana,1B,KC,158,565,66,121,15,0,19,69,86,102,2,0,.214,.319,.342,.661
128,129,Michael A.Taylor,CF,KC,142,483,58,118,16,1,12,54,33,144,14,7,.244,.297,.356,.653
129,130,DavidFletcher,2B,LAA,157,626,74,164,27,3,2,47,31,60,15,3,.262,.297,.324,.621
130,131,ElvisAndrus,SS,OAK,146,497,60,121,25,2,3,37,31,81,12,2,.243,.294,.320,.614
131,132,KevinNewman,SS,PIT,148,517,50,117,22,3,5,39,27,41,6,1,.226,.265,.309,.574
