,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,BryceHarper,RF,PHI,141,488,101,151,42,1,35,84,100,134,13,3,.309,.429,.615,1.044
1,2,VladimirGuerrero,1B,TOR,161,604,123,188,29,1,48,111,86,110,4,1,.311,.401,.601,1.002
2,3,JuanSoto,RF,WSH,151,502,111,157,20,2,29,95,145,93,9,7,.313,.465,.534,.999
3,4,FernandoTatis,SS,SD,130,478,99,135,31,0,42,97,62,153,25,4,.282,.364,.611,.975
4,5,ShoheiOhtani,DH,LAA,158,537,103,138,26,8,46,100,96,189,26,10,.257,.372,.592,.964
5,6,NickCastellanos,RF,CIN,138,531,95,164,38,1,34,100,41,121,3,1,.309,.362,.576,.938
6,6,JoeyVotto,1B,CIN,129,448,73,119,23,1,36,99,77,127,1,0,.266,.375,.563,.938
7,8,AaronJudge,RF,NYY,148,550,89,158,24,0,39,98,75,158,6,1,.287,.373,.544,.917
8,9,KyleTucker,RF,HOU,140,506,83,149,37,3,30,92,53,90,14,2,.294,.359,.557,.916
9,10,TylerO'Neill,LF,STL,138,482,89,138,26,2,34,80,38,168,15,4,.286,.352,.560,.912
10,10,BryanReynolds,CF,PIT,159,559,93,169,35,8,24,90,75,119,5,2,.302,.390,.522,.912
11,12,MattOlson,1B,OAK,156,565,101,153,35,0,39,111,88,113,4,1,.271,.371,.540,.911
12,12,TreaTurner,2B,LAD,148,595,107,195,34,3,28,77,41,110,32,5,.328,.375,.536,.911
13,14,C.J.Cron,1B,COL,142,470,70,132,31,1,28,92,60,117,1,0,.281,.375,.530,.905
14,15,AustinRiley,3B,ATL,160,590,91,179,33,1,33,107,52,168,0,1,.303,.367,.531,.898
15,16,FreddieFreeman,1B,ATL,159,600,120,180,25,2,31,83,85,107,8,3,.300,.393,.503,.896
16,17,BrandonCrawford,SS,SF,138,483,79,144,30,3,24,90,56,105,11,3,.298,.373,.522,.895
17,17,MaxMuncy,1B,LAD,144,497,95,124,26,2,36,94,83,120,2,1,.249,.368,.527,.895
18,19,JoséRamírez,3B,CLE,152,552,111,147,32,5,36,103,72,87,27,4,.266,.355,.538,.893
19,20,RafaelDevers,3B,BOS,156,591,101,165,37,1,38,113,62,143,5,5,.279,.352,.538,.890
20,21,PaulGoldschmidt,1B,STL,158,603,102,177,36,2,31,99,67,136,12,0,.294,.365,.514,.879
21,22,CedricMullins,CF,BAL,159,602,91,175,37,5,30,59,59,125,30,8,.291,.360,.518,.878
22,23,YordanAlvarez,DH,HOU,144,537,92,149,35,1,33,104,50,145,1,0,.277,.346,.531,.877
23,24,MarcusSemien,2B,TOR,162,652,115,173,39,2,45,102,66,146,15,1,.265,.334,.538,.872
24,25,TeoscarHernández,RF,TOR,143,550,92,163,29,0,32,116,36,148,12,4,.296,.346,.524,.870
25,25,GiancarloStanton,DH,NYY,139,510,64,139,19,0,35,97,63,157,0,0,.273,.354,.516,.870
26,27,J.D.Martinez,DH,BOS,148,570,92,163,42,3,28,99,55,150,0,0,.286,.349,.518,.867
27,28,PeteAlonso,1B,NYM,152,561,81,147,27,3,37,94,60,127,3,0,.262,.344,.519,.863
28,28,XanderBogaerts,SS,BOS,144,529,90,156,34,1,23,79,62,113,5,1,.295,.370,.493,.863
29,28,BrandonLowe,2B,TB,149,535,97,132,31,0,39,99,68,167,7,1,.247,.340,.523,.863
30,31,SalvadorPerez,C,KC,161,620,88,169,24,0,48,121,28,170,1,0,.273,.316,.544,.860
31,32,MookieBetts,RF,LAD,122,466,93,123,29,3,23,58,68,86,10,5,.264,.367,.487,.854
32,33,CarlosCorrea,SS,HOU,148,555,104,155,34,1,26,92,75,116,0,0,.279,.366,.485,.851
33,34,JaredWalsh,1B,LAA,144,530,70,147,34,1,29,98,48,152,2,1,.277,.340,.509,.849
34,35,YuliGurriel,1B,HOU,143,530,83,169,31,0,15,81,59,68,1,1,.319,.383,.462,.845
35,36,StarlingMarte,CF,OAK,120,467,89,145,27,3,12,55,43,99,47,5,.310,.383,.458,.841
36,37,JoseAltuve,2B,HOU,146,601,117,167,32,1,31,83,66,91,5,3,.278,.350,.489,.839
37,38,MannyMachado,3B,SD,153,564,92,157,31,2,28,106,63,102,12,3,.278,.347,.489,.836
38,39,JonathanIndia,2B,CIN,150,532,98,143,34,2,21,69,71,141,12,3,.269,.376,.459,.835
39,40,KrisBryant,3B,SF,144,513,86,136,32,2,25,73,62,135,10,2,.265,.353,.481,.834
40,41,JoséAbreu,1B,CWS,152,566,86,148,30,2,30,117,61,143,1,0,.261,.351,.481,.832
41,41,JustinTurner,3B,LAD,151,533,87,148,22,0,27,87,61,98,3,0,.278,.361,.471,.832
42,43,NelsonCruz,DH,TB,140,513,79,136,21,1,32,86,51,126,3,0,.265,.334,.497,.831
43,44,BoBichette,SS,TOR,159,640,121,191,30,1,29,102,40,137,25,1,.298,.343,.484,.827
