,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,JuanSoto,LF,WSH,47,154,39,54,14,0,13,37,41,28,6,2,.351,.490,.695,1.185
1,2,FreddieFreeman,1B,ATL,60,214,51,73,23,1,13,53,45,37,2,0,.341,.462,.640,1.102
2,3,MarcellOzuna,DH,ATL,60,228,38,77,14,0,18,56,38,60,0,0,.338,.431,.636,1.067
3,4,DJLeMahieu,2B,NYY,50,195,41,71,10,2,10,27,18,21,3,0,.364,.421,.590,1.011
4,5,JoséRamírez,3B,CLE,58,219,45,64,16,1,17,46,31,43,10,3,.292,.386,.607,.993
5,5,DominicSmith,1B,NYM,50,177,27,56,21,1,10,42,14,45,0,0,.316,.377,.616,.993
6,5,MikeTrout,CF,LAA,53,199,41,56,9,2,17,46,35,56,1,1,.281,.390,.603,.993
7,8,NelsonCruz,DH,MIN,53,185,33,56,6,0,16,33,25,58,0,0,.303,.397,.595,.992
8,9,JoséAbreu,1B,CWS,60,240,43,76,15,0,19,60,18,59,0,0,.317,.370,.617,.987
9,9,RonaldAcuña,CF,ATL,46,160,46,40,11,0,14,29,38,60,8,1,.250,.406,.581,.987
10,11,TreaTurner,SS,WSH,59,233,46,78,15,4,12,41,22,36,12,4,.335,.394,.588,.982
11,12,MikeYastrzemski,CF,SF,54,192,39,57,14,4,10,35,30,55,2,1,.297,.400,.568,.968
12,13,BryceHarper,RF,PHI,58,190,41,51,9,2,13,33,49,43,8,2,.268,.420,.542,.962
13,14,WilMyers,RF,SD,55,198,34,57,14,2,15,40,18,56,2,1,.288,.353,.606,.959
14,15,MannyMachado,3B,SD,60,224,44,68,12,1,16,47,26,37,6,3,.304,.370,.580,.950
15,16,LukeVoit,1B,NYY,56,213,41,59,5,0,22,52,17,54,0,0,.277,.338,.610,.948
16,17,CoreySeager,SS,LAD,52,212,38,65,12,1,15,41,17,37,1,0,.307,.358,.585,.943
17,18,FernandoTatis,SS,SD,59,224,50,62,11,2,17,45,27,61,11,3,.277,.366,.571,.937
18,19,MookieBetts,RF,LAD,55,219,47,64,9,1,16,39,24,38,10,2,.292,.366,.562,.928
19,20,MichaelConforto,RF,NYM,54,202,40,65,12,0,9,31,24,57,3,3,.322,.412,.515,.927
20,21,TeoscarHernández,RF,TOR,50,190,33,55,7,0,16,34,14,63,6,1,.289,.340,.579,.919
21,22,BrandonLowe,2B,TB,56,193,36,52,9,2,14,37,25,58,3,0,.269,.362,.554,.916
22,23,AnthonyRendon,3B,LAA,52,189,29,54,11,1,9,31,38,31,0,0,.286,.418,.497,.915
