,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
23,24,GeorgeSpringer,CF,HOU,51,189,37,50,6,2,14,32,24,38,1,2,.265,.359,.540,.899
24,25,EloyJiménez,LF,CWS,55,213,26,63,14,0,14,41,12,56,0,0,.296,.332,.559,.891
25,26,BrandonNimmo,CF,NYM,55,186,33,52,8,3,8,18,33,43,1,2,.280,.404,.484,.888
26,27,TimAnderson,SS,CWS,49,208,45,67,11,1,10,21,10,50,5,2,.322,.357,.529,.886
27,28,PaulGoldschmidt,1B,STL,58,191,31,58,13,0,6,21,37,43,1,0,.304,.417,.466,.883
28,29,LourdesGurriel,LF,TOR,57,208,28,64,14,0,11,33,14,48,3,1,.308,.348,.534,.882
29,30,AJPollock,LF,LAD,55,196,30,54,9,0,16,34,12,45,2,2,.276,.314,.566,.880
30,31,TrevorStory,SS,COL,59,235,41,68,13,4,11,28,24,63,15,3,.289,.355,.519,.874
31,32,JeimerCandelario,1B,DET,52,185,30,55,11,3,7,29,20,49,1,1,.297,.369,.503,.872
32,33,XanderBogaerts,SS,BOS,56,203,36,61,8,0,11,28,21,41,8,0,.300,.364,.502,.866
33,33,IanHapp,CF,CHC,57,198,27,51,11,1,12,28,30,63,1,3,.258,.361,.505,.866
34,35,KoleCalhoun,RF,AZ,54,190,35,43,9,0,16,40,28,50,1,1,.226,.338,.526,.864
35,36,AlexVerdugo,RF,BOS,53,201,36,62,16,0,6,15,17,45,4,0,.308,.367,.478,.845
36,37,ChrisTaylor,SS,LAD,56,185,30,50,10,2,8,32,26,55,3,2,.270,.366,.476,.842
37,38,MichaelBrantley,DH,HOU,46,170,24,51,15,0,5,22,17,28,2,0,.300,.364,.476,.840
38,38,J.T.Realmuto,C,PHI,47,173,33,46,6,0,11,32,16,48,4,1,.266,.349,.491,.840
39,40,JeffMcNeil,LF,NYM,52,183,19,57,14,0,4,23,20,24,0,2,.311,.383,.454,.837
40,40,KyleTucker,LF,HOU,58,209,33,56,12,6,9,42,18,46,8,1,.268,.325,.512,.837
41,42,AdamDuvall,LF,ATL,57,190,34,45,8,0,16,33,15,54,0,0,.237,.301,.532,.833
42,43,JakeCronenworth,2B,SD,54,172,26,49,15,3,4,20,18,30,3,1,.285,.354,.477,.831
43,44,WilmerFlores,DH,SF,55,198,30,53,11,1,12,32,13,36,1,0,.268,.315,.515,.830
44,45,DonovanSolano,2B,SF,54,190,22,62,15,1,3,29,10,39,0,0,.326,.365,.463,.828
45,46,DidiGregorius,SS,PHI,60,215,34,61,10,2,10,40,15,28,3,2,.284,.339,.488,.827
46,47,RobbieGrossman,LF,OAK,51,166,23,40,12,2,8,23,21,38,8,1,.241,.344,.482,.826
47,48,TommyLa Stella,2B,OAK,55,196,31,55,14,2,5,25,27,12,1,0,.281,.370,.449,.819
48,49,PeteAlonso,1B,NYM,57,208,31,48,6,0,16,35,24,61,1,0,.231,.326,.490,.816
49,49,RenatoNúñez,1B,BAL,52,195,29,50,10,0,12,31,17,64,0,0,.256,.324,.492,.816
50,51,JackieBradley,CF,BOS,55,191,32,54,11,0,7,22,23,48,5,2,.283,.364,.450,.814
51,52,WillyAdames,SS,TB,54,185,29,48,15,1,8,23,20,74,2,1,.259,.332,.481,.813
52,53,BrianAnderson,3B,MIA,59,200,27,51,7,1,11,38,22,66,0,0,.255,.345,.465,.810
53,54,JesúsAguilar,1B,MIA,51,188,31,52,10,0,8,34,23,40,0,1,.277,.352,.457,.809
54,54,DansbySwanson,SS,ATL,60,237,49,65,15,0,10,35,22,71,5,0,.274,.345,.464,.809
55,56,TrentGrisham,CF,SD,59,215,42,54,8,3,10,26,31,64,10,1,.251,.352,.456,.808
56,57,CavanBiggio,2B,TOR,59,220,41,55,16,0,8,28,41,61,6,0,.250,.375,.432,.807
57,58,CharlieBlackmon,RF,COL,59,221,31,67,12,1,6,42,19,44,2,1,.303,.356,.448,.804
58,59,DavidFletcher,SS,LAA,49,207,31,66,13,0,3,18,20,25,2,1,.319,.376,.425,.801
59,59,KyleLewis,CF,SEA,58,206,37,54,3,0,11,28,34,71,5,1,.262,.364,.437,.801
60,59,ChristianVázquez,C,BOS,47,173,22,49,9,0,7,23,16,43,4,3,.283,.344,.457,.801
61,62,JoeyVotto,1B,CIN,54,186,32,42,8,0,11,22,37,43,0,0,.226,.354,.446,.800
62,63,KevinPillar,CF,COL,54,208,34,60,12,3,6,26,13,41,5,2,.288,.336,.462,.798
63,64,ColinMoran,DH,PIT,52,178,28,44,10,0,10,23,19,52,0,0,.247,.325,.472,.797
64,65,MarkCanha,DH,OAK,59,191,32,47,12,2,5,33,37,54,4,0,.246,.387,.408,.795
65,66,FranmilReyes,DH,CLE,59,211,27,58,10,0,9,34,24,69,0,0,.275,.344,.450,.794
66,67,RafaelDevers,3B,BOS,57,232,32,61,16,1,11,43,13,67,0,0,.263,.310,.483,.793
67,67,RandalGrichuk,CF,TOR,55,216,38,59,9,0,12,35,13,49,1,1,.273,.312,.481,.793
68,67,AaronHicks,CF,NYY,54,169,28,38,10,2,6,21,41,38,4,1,.225,.379,.414,.793
69,70,EddieRosario,LF,MIN,57,210,31,54,7,0,13,42,19,34,3,1,.257,.316,.476,.792
70,70,ChristianWalker,1B,AZ,57,218,35,59,18,1,7,34,19,50,1,1,.271,.333,.459,.792
71,72,BrandonCrawford,SS,SF,54,172,26,44,12,0,8,28,15,47,1,2,.256,.326,.465,.791
72,72,VladimirGuerrero,1B,TOR,60,221,34,58,13,2,9,33,20,38,1,0,.262,.329,.462,.791
73,74,CodyBellinger,CF,LAD,56,213,33,51,10,0,12,30,30,42,6,1,.239,.333,.455,.788
74,74,KyleSeager,3B,SEA,60,203,35,49,12,0,9,40,32,33,5,0,.241,.355,.433,.788
75,76,ChristianYelich,LF,MIL,58,200,39,41,7,1,12,22,46,76,4,2,.205,.356,.430,.786
76,77,NickCastellanos,RF,CIN,60,218,37,49,11,2,14,34,19,69,0,2,.225,.298,.486,.784
77,78,EugenioSuárez,3B,CIN,57,198,29,40,8,0,15,38,30,67,2,0,.202,.312,.470,.782
78,79,MaikelFranco,3B,KC,60,223,23,62,16,0,8,38,16,38,1,0,.278,.321,.457,.778
79,80,YasmaniGrandal,C,CWS,46,161,27,37,7,0,8,27,30,58,0,0,.230,.351,.422,.773
80,81,DavidPeralta,LF,AZ,54,203,19,61,10,1,5,34,13,45,1,0,.300,.339,.433,.772
81,82,JuricksonProfar,LF,SD,56,180,28,50,6,0,7,25,15,28,7,1,.278,.343,.428,.771
82,82,RaimelTapia,LF,COL,51,184,26,59,8,2,1,17,14,38,8,2,.321,.369,.402,.771
83,84,StarlingMarte,CF,MIA,61,228,36,64,14,1,6,27,12,41,10,2,.281,.340,.430,.770
84,85,JeanSegura,2B,PHI,54,192,28,51,5,2,7,25,23,45,2,2,.266,.347,.422,.769
85,86,WhitMerrifield,RF,KC,60,248,38,70,12,0,9,30,12,33,12,3,.282,.325,.440,.765
86,87,WillsonContreras,C,CHC,57,189,37,46,10,0,7,26,20,57,1,2,.243,.356,.407,.763
87,87,CésarHernández,2B,CLE,58,233,35,66,20,0,3,20,24,57,0,0,.283,.355,.408,.763
88,89,J.D.Davis,3B,NYM,56,190,26,47,9,0,6,19,31,56,0,0,.247,.371,.389,.760
89,89,MaxKepler,RF,MIN,48,171,27,39,9,0,9,23,22,36,3,0,.228,.321,.439,.760
90,91,AndrewMcCutchen,LF,PHI,57,217,32,55,9,0,10,34,22,48,4,0,.253,.324,.433,.757
91,92,AnthonyRizzo,1B,CHC,58,203,26,45,6,0,11,24,28,38,3,1,.222,.342,.414,.756
92,92,MiguelSanó,1B,MIN,53,186,31,38,12,0,13,25,18,90,0,0,.204,.278,.478,.756
93,94,AsdrúbalCabrera,1B,WSH,52,190,23,46,9,3,8,31,19,40,0,0,.242,.305,.447,.752
94,95,FranciscoLindor,SS,CLE,60,236,30,61,13,0,8,27,24,41,6,2,.258,.335,.415,.750
95,96,MiguelCabrera,DH,DET,57,204,28,51,4,0,10,35,24,51,1,0,.250,.329,.417,.746
96,97,LuisRobert,CF,CWS,56,202,33,47,8,0,11,31,20,73,9,2,.233,.302,.436,.738
97,98,NolanArenado,3B,COL,48,182,23,46,9,0,8,26,15,20,0,0,.253,.303,.434,.737
98,99,HunterDozier,1B,KC,44,158,29,36,4,2,6,12,27,48,4,0,.228,.344,.392,.736
99,100,MattOlson,1B,OAK,60,210,28,41,4,1,14,42,34,77,1,0,.195,.310,.424,.734
100,101,OrlandoArcia,SS,MIL,59,173,22,45,10,1,5,20,14,32,2,0,.260,.317,.416,.733
101,102,KetelMarte,2B,AZ,45,181,19,52,14,1,2,17,7,21,1,0,.287,.323,.409,.732
102,103,NickAhmed,SS,AZ,57,199,29,53,10,1,5,29,18,46,4,0,.266,.327,.402,.729
103,104,EvanLongoria,3B,SF,53,193,26,49,10,1,7,28,11,39,0,1,.254,.297,.425,.722
104,105,MaxMuncy,1B,LAD,58,203,36,39,4,0,12,27,39,60,1,0,.192,.331,.389,.720
105,106,AustinRiley,3B,ATL,51,188,24,45,7,1,8,27,16,49,0,0,.239,.301,.415,.716
106,107,RyanMcMahon,2B,COL,52,172,23,37,6,1,9,26,18,66,0,1,.215,.295,.419,.714
107,108,CoreyDickerson,LF,MIA,52,194,25,50,5,1,7,17,15,35,1,1,.258,.311,.402,.713
108,108,RioRuiz,3B,BAL,54,185,25,41,11,0,9,32,17,46,1,2,.222,.286,.427,.713
109,110,AdalbertoMondesi,SS,KC,59,219,33,56,11,3,6,22,11,70,24,8,.256,.294,.416,.710
110,111,CarlosCorrea,SS,HOU,58,201,22,53,9,0,5,25,16,49,0,0,.264,.326,.383,.709
111,112,KestonHiura,2B,MIL,59,217,30,46,4,0,13,32,16,85,3,2,.212,.297,.410,.707
112,113,VictorReyes,CF,DET,57,202,30,56,7,2,4,14,9,45,8,2,.277,.315,.391,.706
113,114,YoánMoncada,3B,CWS,52,200,28,45,8,3,6,24,28,72,0,0,.225,.320,.385,.705
114,115,RamónLaureano,CF,OAK,54,183,27,39,8,1,6,25,24,58,2,1,.213,.338,.366,.704
115,116,KyleSchwarber,LF,CHC,59,191,30,36,6,0,11,24,30,66,1,0,.188,.308,.393,.701
116,117,HanserAlberto,2B,BAL,54,219,35,62,15,0,3,22,5,30,3,0,.283,.306,.393,.699
117,117,IsiahKiner-Falefa,3B,TEX,58,211,28,59,4,3,3,10,14,32,8,5,.280,.329,.370,.699
118,117,CarlosSantana,1B,CLE,60,206,34,41,7,0,8,30,47,43,0,0,.199,.349,.350,.699
119,120,JoshReddick,RF,HOU,56,188,22,46,11,1,4,23,20,42,1,0,.245,.316,.378,.694
120,121,TommyEdman,3B,STL,55,204,29,51,7,1,5,26,16,48,2,4,.250,.317,.368,.685
121,122,J.D.Martinez,DH,BOS,54,211,22,45,16,0,7,27,22,59,1,0,.213,.291,.389,.680
122,123,JoeyGallo,RF,TEX,57,193,23,35,8,0,10,26,29,79,2,0,.181,.301,.378,.679
123,123,MarcusSemien,SS,OAK,53,211,28,47,9,1,7,23,25,50,4,0,.223,.305,.374,.679
124,125,KoltenWong,2B,STL,53,181,26,48,4,2,1,16,20,30,5,2,.265,.350,.326,.676
125,126,J.P.Crawford,SS,SEA,53,204,33,52,7,2,2,24,23,39,6,3,.255,.336,.338,.674
126,127,NickSolak,LF,TEX,58,209,27,56,10,0,2,23,18,42,7,1,.268,.326,.344,.670
127,128,JoshBell,1B,PIT,57,195,22,44,3,0,8,22,22,59,0,0,.226,.305,.364,.669
128,129,AdamFrazier,2B,PIT,58,209,22,48,7,0,7,23,17,35,1,3,.230,.297,.364,.661
129,130,AvisaílGarcía,CF,MIL,53,181,20,43,10,0,2,15,20,49,1,3,.238,.333,.326,.659
130,131,YuliGurriel,1B,HOU,57,211,27,49,12,1,6,22,12,27,0,1,.232,.274,.384,.658
131,131,JorgePolanco,SS,MIN,55,209,22,54,8,0,4,19,13,35,4,2,.258,.304,.354,.658
132,133,BryanReynolds,LF,PIT,55,185,24,35,6,2,7,19,21,57,1,1,.189,.275,.357,.632
133,134,JoseAltuve,2B,HOU,48,192,32,42,9,0,5,18,17,39,2,3,.219,.286,.344,.630
134,135,ErikGonzález,SS,PIT,50,181,14,41,13,1,3,20,8,51,2,3,.227,.255,.359,.614
135,136,VictorRobles,CF,WSH,52,168,20,37,5,1,3,15,9,53,4,1,.220,.293,.315,.608
136,137,MarwinGonzalez,3B,MIN,53,175,15,37,4,0,5,22,17,41,0,0,.211,.286,.320,.606
137,138,EduardoEscobar,3B,AZ,54,203,22,43,7,3,4,20,15,41,1,0,.212,.270,.335,.605
138,139,JavierBáez,SS,CHC,59,222,27,45,9,1,8,24,7,75,3,0,.203,.238,.360,.598
139,139,EvanWhite,1B,SEA,54,182,19,32,7,0,8,26,18,84,1,2,.176,.252,.346,.598
140,141,JonathanVillar,2B,TOR,52,185,13,43,5,0,2,15,19,54,16,5,.232,.301,.292,.593
141,142,NickyLopez,2B,KC,56,169,15,34,8,0,1,13,18,41,0,5,.201,.286,.266,.552
