,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,ChristianYelich,RF,MIL,130,489,100,161,29,3,44,97,80,118,30,2,.329,.429,.671,1.100
1,2,MikeTrout,CF,LAA,134,470,110,137,27,2,45,104,110,120,11,2,.291,.438,.645,1.083
2,3,CodyBellinger,RF,LAD,156,558,121,170,34,3,47,115,95,108,15,5,.305,.406,.629,1.035
3,4,NelsonCruz,DH,MIN,120,454,81,141,26,0,41,108,56,131,0,1,.311,.392,.639,1.031
4,5,AlexBregman,3B,HOU,156,554,122,164,37,2,41,112,119,83,5,1,.296,.423,.592,1.015
5,6,AnthonyRendon,3B,WSH,146,545,117,174,44,3,34,126,80,86,5,1,.319,.412,.598,1.010
6,7,KetelMarte,CF,AZ,144,569,97,187,36,9,32,92,53,86,10,2,.329,.389,.592,.981
7,8,GeorgeSpringer,CF,HOU,122,479,96,140,20,3,39,96,67,113,6,2,.292,.383,.591,.974
8,9,NolanArenado,3B,COL,155,588,102,185,31,2,41,118,62,93,3,2,.315,.379,.583,.962
9,10,JuanSoto,LF,WSH,150,542,110,153,32,5,34,110,108,132,12,1,.282,.401,.548,.949
10,11,PeteAlonso,1B,NYM,161,597,103,155,30,2,53,120,72,183,1,0,.260,.358,.583,.941
11,12,CharlieBlackmon,RF,COL,140,580,112,182,42,7,32,86,40,104,2,5,.314,.364,.576,.940
12,12,J.D.Martinez,DH,BOS,146,575,98,175,33,2,36,105,72,138,2,0,.304,.383,.557,.940
13,14,XanderBogaerts,SS,BOS,155,614,110,190,52,0,33,117,76,122,4,2,.309,.384,.555,.939
14,15,FreddieFreeman,1B,ATL,158,597,113,176,34,2,38,121,87,127,6,3,.295,.389,.549,.938
15,16,JoshBell,1B,PIT,143,527,94,146,37,3,37,116,74,118,0,1,.277,.367,.569,.936
16,17,EugenioSuárez,3B,CIN,159,575,87,156,22,2,49,103,70,189,3,2,.271,.358,.572,.930
17,18,AnthonyRizzo,1B,CHC,146,512,89,150,29,3,27,94,71,86,5,2,.293,.405,.520,.925
18,19,JorgeSoler,DH,KC,162,589,95,156,33,1,48,117,73,178,3,1,.265,.354,.569,.923
19,20,AustinMeadows,RF,TB,138,530,83,154,29,7,33,89,54,131,12,7,.291,.364,.558,.922
20,21,TrevorStory,SS,COL,145,588,111,173,38,5,35,85,58,174,23,8,.294,.363,.554,.917
21,22,RafaelDevers,3B,BOS,156,647,129,201,54,4,32,115,48,119,8,8,.311,.361,.555,.916
22,23,MookieBetts,RF,BOS,150,597,135,176,40,5,29,80,97,101,16,3,.295,.391,.524,.915
23,23,JeffMcNeil,LF,NYM,133,510,83,162,38,1,23,75,35,75,5,6,.318,.384,.531,.915
24,23,YoánMoncada,3B,CWS,132,511,83,161,34,5,25,79,40,154,10,3,.315,.367,.548,.915
25,26,CarlosSantana,1B,CLE,158,573,110,161,30,1,34,93,108,108,4,0,.281,.397,.515,.912
26,27,JoseAltuve,2B,HOU,124,500,89,149,27,3,31,74,41,82,6,5,.298,.353,.550,.903
27,27,KrisBryant,3B,CHC,147,543,108,153,35,1,31,77,74,145,4,0,.282,.382,.521,.903
28,29,JoshDonaldson,3B,ATL,155,549,96,142,33,0,37,94,100,155,4,2,.259,.379,.521,.900
29,30,TreyMancini,RF,BAL,154,602,106,175,38,2,35,97,63,143,1,0,.291,.364,.535,.899
30,31,MattOlson,1B,OAK,127,483,73,129,26,0,36,91,51,138,0,0,.267,.351,.545,.896
31,32,DJLeMahieu,2B,NYY,145,602,109,197,33,2,26,102,46,90,5,2,.327,.375,.518,.893
32,33,MarcusSemien,SS,OAK,162,657,123,187,43,7,33,92,87,102,10,8,.285,.369,.522,.891
33,34,MaxMuncy,2B,LAD,141,487,101,122,22,1,35,98,90,149,4,1,.251,.374,.515,.889
34,35,YuliGurriel,1B,HOU,144,564,85,168,40,2,31,104,37,65,5,3,.298,.343,.541,.884
35,36,RonaldAcuña,CF,ATL,156,626,127,175,22,2,41,101,76,188,37,9,.280,.365,.518,.883
36,37,BryceHarper,RF,PHI,157,573,98,149,36,1,35,114,99,178,15,3,.260,.372,.510,.882
37,38,JustinTurner,3B,LAD,135,479,80,139,24,0,27,67,51,88,2,0,.290,.372,.509,.881
38,39,BryanReynolds,LF,PIT,134,491,83,154,37,4,16,68,46,121,3,2,.314,.377,.503,.880
39,40,JocPederson,LF,LAD,149,450,83,112,16,3,36,74,50,111,1,1,.249,.339,.538,.877
40,41,MichaelBrantley,LF,HOU,148,575,88,179,40,2,22,90,51,66,3,2,.311,.372,.503,.875
41,42,GleyberTorres,SS,NYY,144,546,96,152,26,0,38,90,48,129,5,2,.278,.337,.535,.872
42,43,HunterDozier,3B,KC,139,523,75,146,29,10,26,84,55,148,2,2,.279,.348,.522,.870
43,43,KyleSchwarber,LF,CHC,155,529,82,132,29,3,38,92,70,156,2,3,.250,.339,.531,.870
44,45,TimAnderson,SS,CWS,123,498,81,167,32,0,18,56,15,109,17,5,.335,.357,.508,.865
45,46,NickCastellanos,RF,CHC,151,615,100,178,58,3,27,73,41,143,2,2,.289,.337,.525,.862
46,47,DannySantana,1B,TEX,130,474,81,134,23,6,28,81,25,151,21,6,.283,.324,.534,.858
47,48,MichaelConforto,RF,NYM,151,549,90,141,29,1,33,92,84,149,7,2,.257,.363,.494,.857
48,49,MaxKepler,RF,MIN,134,524,98,132,32,0,36,90,60,99,1,5,.252,.336,.519,.855
49,50,FranciscoLindor,SS,CLE,143,598,101,170,40,2,32,74,46,98,22,5,.284,.335,.518,.853
50,51,OzzieAlbies,2B,ATL,160,640,102,189,43,8,24,86,54,112,15,4,.295,.352,.500,.852
51,52,TreaTurner,SS,WSH,122,521,96,155,37,5,19,57,43,113,35,5,.298,.353,.497,.850
52,53,RyanBraun,LF,MIL,144,459,70,131,31,2,22,75,34,105,11,1,.285,.343,.505,.848
53,53,MattChapman,3B,OAK,156,583,102,145,36,3,36,91,73,147,1,1,.249,.342,.506,.848
54,53,YasmaniGrandal,C,MIL,153,513,79,126,26,2,28,77,109,139,5,1,.246,.380,.468,.848
55,56,JavierBáez,SS,CHC,138,531,89,149,38,4,29,85,28,156,11,7,.281,.316,.531,.847
56,57,StarlingMarte,CF,PIT,132,539,97,159,31,6,23,82,25,94,25,6,.295,.342,.503,.845
57,57,MikeMoustakas,3B,MIL,143,523,80,133,30,1,35,87,53,98,3,0,.254,.329,.516,.845
58,59,LukeVoit,1B,NYY,118,429,72,113,21,1,21,62,71,142,0,0,.263,.378,.464,.842
59,60,JorgePolanco,SS,MIN,153,631,107,186,40,7,22,79,60,116,4,3,.295,.356,.485,.841
60,61,JoséAbreu,1B,CWS,159,634,85,180,38,1,33,123,36,152,2,2,.284,.330,.503,.833
61,62,EduardoEscobar,3B,AZ,158,636,94,171,29,10,35,118,50,130,5,1,.269,.320,.511,.831
62,63,BrettGardner,CF,NYY,141,491,86,123,26,7,28,74,52,108,10,2,.251,.325,.503,.828
63,63,EloyJiménez,LF,CWS,122,468,69,125,18,2,31,79,30,134,0,0,.267,.315,.513,.828
64,65,Shin-SooChoo,DH,TEX,151,563,93,149,31,2,24,61,78,165,15,1,.265,.371,.455,.826
65,66,ChristianWalker,1B,AZ,152,529,86,137,26,1,29,73,67,155,8,1,.259,.348,.476,.824
66,67,PaulGoldschmidt,1B,STL,161,597,97,155,25,1,34,97,78,166,3,1,.260,.346,.476,.822
67,67,FranmilReyes,DH,CLE,150,494,69,123,19,0,37,81,47,156,0,0,.249,.310,.512,.822
68,69,J.T.Realmuto,C,PHI,145,538,92,148,36,3,25,83,41,123,9,1,.275,.328,.493,.821
69,70,TommyPham,LF,TB,145,567,77,155,33,2,21,68,81,123,25,4,.273,.369,.450,.819
70,71,RhysHoskins,1B,PHI,160,570,86,129,33,5,29,85,116,173,2,2,.226,.364,.454,.818
71,71,CoreySeager,SS,LAD,134,489,82,133,44,1,19,87,44,98,1,0,.272,.335,.483,.818
72,73,WhitMerrifield,2B,KC,162,681,105,206,41,10,16,74,45,126,20,10,.302,.348,.463,.811
73,74,BrianAnderson,3B,MIA,126,459,57,120,33,1,20,66,44,114,5,1,.261,.342,.468,.810
74,75,JoséRamírez,3B,CLE,129,482,68,123,33,3,23,83,52,74,24,4,.255,.327,.479,.806
75,76,MarcellOzuna,LF,STL,130,485,80,117,23,1,29,89,62,114,12,2,.241,.328,.472,.800
76,76,EddieRosario,LF,MIN,137,562,91,155,28,1,32,109,22,86,3,1,.276,.300,.500,.800
77,78,KevinNewman,SS,PIT,130,493,61,152,20,6,12,64,28,62,16,8,.308,.353,.446,.799
78,79,ChristianVázquez,C,BOS,138,482,66,133,26,1,23,72,33,101,4,2,.276,.320,.477,.797
79,80,AvisaílGarcía,RF,TB,125,489,61,138,25,2,20,72,31,125,10,4,.282,.332,.464,.796
80,80,MannyMachado,3B,SD,156,587,81,150,21,2,32,85,65,128,5,3,.256,.334,.462,.796
81,82,AdamEaton,RF,WSH,151,566,103,158,25,7,15,49,65,106,15,3,.279,.365,.428,.793
82,83,KoleCalhoun,RF,LAA,152,552,92,128,29,1,33,74,70,162,4,1,.232,.325,.467,.792
83,83,JonathanVillar,2B,BAL,162,642,111,176,33,5,24,73,61,176,40,9,.274,.339,.453,.792
84,85,YasielPuig,RF,CLE,149,555,76,148,30,2,24,84,44,133,19,7,.267,.327,.458,.785
85,86,KoltenWong,2B,STL,148,478,61,136,25,4,11,59,47,83,24,4,.285,.361,.423,.784
86,87,AsdrúbalCabrera,2B,WSH,131,447,69,116,25,1,18,91,57,103,4,0,.260,.342,.441,.783
87,88,DanielVogelbach,DH,SEA,144,462,73,96,17,0,30,76,92,149,0,0,.208,.341,.439,.780
88,89,RyanMcMahon,2B,COL,141,480,70,120,22,1,24,83,56,160,5,1,.250,.329,.450,.779
89,90,AndrewBenintendi,LF,BOS,138,541,72,144,40,5,13,68,59,140,10,3,.266,.343,.431,.774
90,91,VladimirGuerrero,3B,TOR,123,464,52,126,26,2,15,69,46,91,0,1,.272,.339,.433,.772
91,91,JasonHeyward,RF,CHC,147,513,78,129,20,4,21,62,68,110,8,3,.251,.343,.429,.772
92,93,RenatoNúñez,DH,BAL,151,541,72,132,24,0,31,90,44,143,1,1,.244,.311,.460,.771
93,94,DomingoSantana,LF,SEA,121,451,63,114,20,1,21,69,50,164,8,3,.253,.329,.441,.770
94,95,JoeyVotto,1B,CIN,142,525,79,137,32,1,15,47,76,123,5,0,.261,.357,.411,.768
95,96,WilsonRamos,C,NYM,141,473,52,136,19,0,14,73,44,69,1,0,.288,.351,.416,.767
96,97,PaulDeJong,SS,STL,159,583,97,136,31,1,30,78,62,149,9,5,.233,.318,.444,.762
97,97,EvanLongoria,3B,SF,129,453,59,115,19,2,20,69,43,112,3,1,.254,.325,.437,.762
98,99,DexterFowler,RF,STL,150,487,69,116,24,1,19,67,74,142,8,5,.238,.346,.409,.755
99,99,AmedRosario,SS,NYM,157,616,75,177,30,7,15,72,31,124,19,10,.287,.323,.432,.755
100,101,NickAhmed,SS,AZ,158,556,79,141,33,6,19,82,52,113,8,2,.254,.316,.437,.753
101,101,AdamFrazier,2B,PIT,152,554,80,154,33,7,10,50,40,75,5,5,.278,.336,.417,.753
102,103,HanserAlberto,2B,BAL,139,524,62,160,21,2,12,51,16,50,4,4,.305,.329,.422,.751
103,103,ColinMoran,3B,PIT,149,466,46,129,30,1,13,80,30,117,0,1,.277,.322,.429,.751
104,105,DansbySwanson,SS,ATL,127,483,77,121,26,3,17,65,51,124,10,5,.251,.325,.422,.747
105,106,VictorRobles,CF,WSH,155,546,86,139,33,3,17,65,35,140,28,9,.255,.326,.419,.745
106,107,MiguelCabrera,DH,DET,136,493,41,139,21,0,12,59,48,108,0,0,.282,.346,.398,.744
107,108,JeanSegura,SS,PHI,144,576,79,161,37,4,12,60,30,73,10,2,.280,.323,.420,.743
108,109,BrandonBelt,1B,SF,156,526,76,123,32,3,17,57,83,127,4,3,.234,.339,.403,.742
109,110,AlexGordon,LF,KC,150,556,77,148,31,1,13,76,51,100,5,3,.266,.345,.396,.741
110,110,CésarHernández,2B,PHI,161,612,77,171,31,3,14,71,45,100,9,2,.279,.333,.408,.741
111,112,JackieBradley,CF,BOS,147,494,69,111,28,3,21,62,56,155,8,6,.225,.317,.421,.738
112,113,RandalGrichuk,RF,TOR,151,586,75,136,29,5,31,80,35,163,2,1,.232,.280,.457,.737
113,114,StarlinCastro,2B,MIA,162,636,68,172,31,4,22,86,28,111,2,2,.270,.300,.436,.736
114,115,WillyAdames,SS,TB,152,531,69,135,25,1,20,52,46,153,4,2,.254,.317,.418,.735
115,115,EricHosmer,1B,SD,160,619,72,164,29,2,22,99,40,163,0,3,.265,.310,.425,.735
116,115,AlbertPujols,1B,LAA,131,491,55,120,22,0,23,93,43,68,3,0,.244,.305,.430,.735
117,118,DavidFletcher,3B,LAA,154,596,83,173,30,4,6,49,55,64,8,3,.290,.350,.384,.734
118,118,FreddyGalvis,2B,CIN,147,557,67,145,28,1,23,70,28,145,4,2,.260,.296,.438,.734
119,120,JoshReddick,RF,HOU,141,501,57,138,19,3,14,56,36,66,5,2,.275,.319,.409,.728
120,121,AdamJones,RF,AZ,137,485,66,126,25,1,16,67,31,101,2,1,.260,.313,.414,.727
121,122,JoseIglesias,SS,CIN,146,504,62,145,21,3,11,59,20,70,6,6,.288,.318,.407,.725
122,123,RougnedOdor,2B,TEX,145,522,77,107,30,1,30,93,52,178,11,9,.205,.283,.439,.722
123,124,KevinPillar,CF,SF,161,611,83,158,37,3,21,88,18,89,14,5,.259,.287,.432,.719
124,125,JasonKipnis,2B,CLE,121,458,52,112,23,1,17,65,40,88,7,2,.245,.304,.410,.714
125,126,JuricksonProfar,2B,OAK,139,459,65,100,24,2,20,67,48,75,9,1,.218,.301,.410,.711
126,127,MiguelRojas,SS,MIA,132,483,52,137,29,1,5,46,32,62,9,5,.284,.331,.379,.710
127,128,ElvisAndrus,SS,TEX,147,600,81,165,27,4,12,72,34,96,31,8,.275,.313,.393,.706
128,129,LorenzoCain,CF,MIL,148,562,75,146,30,0,11,48,50,106,18,8,.260,.325,.372,.697
129,130,LeuryGarcia,CF,CWS,140,577,93,161,27,3,8,40,21,139,15,5,.279,.310,.378,.688
130,131,KhrisDavis,DH,OAK,133,481,61,106,11,0,23,73,47,146,0,0,.220,.293,.387,.680
131,132,BrandonCrawford,SS,SF,147,500,58,114,24,2,11,59,53,117,3,2,.228,.304,.350,.654
132,133,YolmerSánchez,2B,CWS,149,496,59,125,20,4,2,43,44,117,5,4,.252,.318,.321,.639
133,134,MallexSmith,CF,SEA,134,510,70,116,19,9,6,37,42,141,46,9,.227,.300,.335,.635
134,135,OrlandoArcia,SS,MIL,152,494,51,110,16,1,15,59,43,109,8,5,.223,.283,.350,.633
